entry_date,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,ce_signal_status,ce_entry_sma,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,ce_exit_reason,pe_signal_status,pe_entry_sma,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,pe_exit_reason,legs_traded,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:30:00+05:30,23640.75,23650,TRADED,130.71,2025-01-01T09:30:00+05:30,116.95,2025-01-01T10:15:00+05:30,134.9,stop_loss_ma_cross,TRADED,144.81,2025-01-01T09:30:00+05:30,114.35,2025-01-01T15:15:00+05:30,69.2,day_close,2,4,6032.00,100.00,5932.00,
2025-01-02,TRADED,,2025-01-02,2025-01-02T09:30:00+05:30,23760.3,23750,TRADED,130.35,2025-01-02T09:30:00+05:30,120.35,2025-01-02T09:45:00+05:30,156.6,stop_loss_ma_cross,TRADED,128.79,2025-01-02T09:30:00+05:30,108.5,2025-01-02T15:15:00+05:30,0.2,day_close,2,4,17693.00,100.00,17593.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T09:30:00+05:30,24132.15,24150,NO_SIGNAL,158.66,,,,,,TRADED,268.99,2025-01-03T09:30:00+05:30,197.95,2025-01-03T10:45:00+05:30,245.0,stop_loss_ma_cross,1,2,-12753.00,50.00,-12803.00,NIFTY_24150_CE_09_JAN_25.csv open 170.65 is not below SMA 158.66 at 2025-01-03T09:30:00+05:30
2025-01-06,TRADED,,2025-01-09,2025-01-06T09:30:00+05:30,24035.65,24050,TRADED,161.52,2025-01-06T09:30:00+05:30,132.55,2025-01-06T15:15:00+05:30,44.85,day_close,NO_SIGNAL,160.84,,,,,,1,2,22282.00,50.00,22232.00,NIFTY_24050_PE_09_JAN_25.csv open 177.65 is not below SMA 160.84 at 2025-01-06T09:30:00+05:30
2025-01-07,TRADED,,2025-01-09,2025-01-07T09:30:00+05:30,23761.0,23750,TRADED,179.63,2025-01-07T09:30:00+05:30,171.0,2025-01-07T15:15:00+05:30,100.45,day_close,TRADED,197.46,2025-01-07T09:30:00+05:30,142.55,2025-01-07T15:15:00+05:30,145.1,day_close,2,4,16640.00,100.00,16540.00,
2025-01-08,TRADED,,2025-01-09,2025-01-08T09:30:00+05:30,23637.8,23650,TRADED,171.77,2025-01-08T09:30:00+05:30,86.25,2025-01-08T14:00:00+05:30,94.45,stop_loss_ma_cross,NO_SIGNAL,97.77,,,,,,1,2,-2652.00,50.00,-2702.00,NIFTY_23650_PE_09_JAN_25.csv open 106.6 is not below SMA 97.77 at 2025-01-08T09:30:00+05:30
2025-01-09,TRADED,,2025-01-09,2025-01-09T09:30:00+05:30,23613.7,23600,TRADED,88.64,2025-01-09T09:30:00+05:30,44.0,2025-01-09T15:15:00+05:30,0.1,day_close,TRADED,79.09,2025-01-09T09:30:00+05:30,43.35,2025-01-09T11:00:00+05:30,91.85,stop_loss_ma_cross,2,4,-2236.00,100.00,-2336.00,
2025-01-10,TRADED,,2025-01-16,2025-01-10T09:30:00+05:30,23518.65,23500,TRADED,237.66,2025-01-10T09:30:00+05:30,204.5,2025-01-10T11:15:00+05:30,230.9,stop_loss_ma_cross,NO_SIGNAL,138.46,,,,,,1,2,-7384.00,50.00,-7434.00,NIFTY_23500_PE_16_JAN_25.csv open 159.94 is not below SMA 138.46 at 2025-01-10T09:30:00+05:30
2025-01-13,TRADED,,2025-01-16,2025-01-13T09:30:00+05:30,23255.95,23250,TRADED,327.02,2025-01-13T09:30:00+05:30,173.9,2025-01-13T15:15:00+05:30,77.95,day_close,NO_SIGNAL,88.91,,,,,,1,2,24427.00,50.00,24377.00,NIFTY_23250_PE_16_JAN_25.csv open 155.6 is not below SMA 88.91 at 2025-01-13T09:30:00+05:30
2025-01-14,TRADED,,2025-01-16,2025-01-14T09:30:00+05:30,23192.5,23200,TRADED,153.80,2025-01-14T09:30:00+05:30,125.45,2025-01-14T11:00:00+05:30,129.25,stop_loss_ma_cross,TRADED,139.51,2025-01-14T09:30:00+05:30,107.05,2025-01-14T15:15:00+05:30,68.75,day_close,2,4,7930.00,100.00,7830.00,
2025-01-15,TRADED,,2025-01-16,2025-01-15T09:30:00+05:30,23207.5,23200,TRADED,104.72,2025-01-15T09:30:00+05:30,87.8,2025-01-15T10:45:00+05:30,114.3,stop_loss_ma_cross,TRADED,88.33,2025-01-15T09:30:00+05:30,69.2,2025-01-15T13:30:00+05:30,71.5,stop_loss_ma_cross,2,4,-8528.00,100.00,-8628.00,
2025-01-16,TRADED,,2025-01-16,2025-01-16T09:30:00+05:30,23348.4,23350,NO_SIGNAL,21.38,,,,,,TRADED,144.10,2025-01-16T09:30:00+05:30,44.4,2025-01-16T15:15:00+05:30,47.85,day_close,1,2,-1417.00,50.00,-1467.00,NIFTY_23350_CE_16_JAN_25.csv open 29.15 is not below SMA 21.38 at 2025-01-16T09:30:00+05:30
2025-01-17,TRADED,,2025-01-23,2025-01-17T09:30:00+05:30,23221.1,23200,TRADED,257.84,2025-01-17T09:30:00+05:30,201.65,2025-01-17T12:30:00+05:30,227.5,stop_loss_ma_cross,NO_SIGNAL,119.63,,,,,,1,2,-7241.00,50.00,-7291.00,NIFTY_23200_PE_23_JAN_25.csv open 149.55 is not below SMA 119.63 at 2025-01-17T09:30:00+05:30
2025-01-20,TRADED,,2025-01-23,2025-01-20T09:30:00+05:30,23208.9,23200,TRADED,192.85,2025-01-20T09:30:00+05:30,186.05,2025-01-20T10:30:00+05:30,191.8,stop_loss_ma_cross,TRADED,168.28,2025-01-20T09:30:00+05:30,160.94,2025-01-20T15:15:00+05:30,72.09,day_close,2,4,20566.00,100.00,20466.00,
2025-01-21,TRADED,,2025-01-23,2025-01-21T09:30:00+05:30,23414.6,23400,NO_SIGNAL,118.24,,,,,,TRADED,176.27,2025-01-21T09:30:00+05:30,126.2,2025-01-21T10:00:00+05:30,196.65,stop_loss_ma_cross,1,2,-18837.00,50.00,-18887.00,NIFTY_23400_CE_23_JAN_25.csv open 140.6 is not below SMA 118.24 at 2025-01-21T09:30:00+05:30
2025-01-22,TRADED,,2025-01-23,2025-01-22T09:30:00+05:30,23083.0,23100,TRADED,210.17,2025-01-22T09:30:00+05:30,116.75,2025-01-22T14:45:00+05:30,91.4,stop_loss_ma_cross,TRADED,108.02,2025-01-22T09:30:00+05:30,100.35,2025-01-22T12:00:00+05:30,102.2,stop_loss_ma_cross,2,4,5070.00,100.00,4970.00,
2025-01-23,TRADED,,2025-01-23,2025-01-23T09:30:00+05:30,23105.55,23100,TRADED,76.99,2025-01-23T09:30:00+05:30,54.35,2025-01-23T09:45:00+05:30,126.9,stop_loss_ma_cross,TRADED,81.91,2025-01-23T09:30:00+05:30,34.6,2025-01-23T15:15:00+05:30,0.1,day_close,2,4,-10933.00,100.00,-11033.00,
2025-01-24,TRADED,,2025-01-30,2025-01-24T09:30:00+05:30,23235.25,23250,TRADED,203.83,2025-01-24T09:30:00+05:30,197.85,2025-01-24T11:15:00+05:30,209.0,stop_loss_ma_cross,NO_SIGNAL,178.04,,,,,,1,2,-3419.00,50.00,-3469.00,NIFTY_23250_PE_30_JAN_25.csv open 186.15 is not below SMA 178.04 at 2025-01-24T09:30:00+05:30
2025-01-27,TRADED,,2025-01-30,2025-01-27T09:30:00+05:30,22967.55,22950,TRADED,344.63,2025-01-27T09:30:00+05:30,182.05,2025-01-27T15:15:00+05:30,111.55,day_close,NO_SIGNAL,83.57,,,,,,1,2,17810.00,50.00,17760.00,NIFTY_22950_PE_30_JAN_25.csv open 162.35 is not below SMA 83.57 at 2025-01-27T09:30:00+05:30
2025-01-28,TRADED,,2025-01-30,2025-01-28T09:30:00+05:30,22908.8,22900,NO_SIGNAL,155.94,,,,,,TRADED,174.22,2025-01-28T09:30:00+05:30,140.44,2025-01-28T15:15:00+05:30,100.55,day_close,1,2,9851.40,50.00,9801.40,NIFTY_22900_CE_30_JAN_25.csv open 167.55 is not below SMA 155.94 at 2025-01-28T09:30:00+05:30
