entry_date,status,skip_reason,expiry_date,trades,ce_trades,pe_trades,stopped_trades,day_close_trades,skipped_signals,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,4,1,3,3,1,0,8,977.60,200.00,777.60,
2025-01-02,TRADED,,2025-01-02,1,0,1,0,1,0,2,27638.00,50.00,27588.00,
2025-01-03,TRADED,,2025-01-09,8,5,3,7,1,0,16,-14094.60,400.00,-14494.60,
2025-01-06,TRADED,,2025-01-09,3,3,0,2,1,0,6,10140.00,150.00,9990.00,
2025-01-07,TRADED,,2025-01-09,8,4,4,8,0,0,16,-14534.00,400.00,-14934.00,
2025-01-08,TRADED,,2025-01-09,2,1,1,1,1,0,4,13832.00,100.00,13732.00,
2025-01-09,TRADED,,2025-01-09,6,3,3,5,1,0,12,-4404.40,300.00,-4704.40,
2025-01-10,TRADED,,2025-01-16,11,4,7,10,1,0,22,-12997.40,550.00,-13547.40,
2025-01-13,TRADED,,2025-01-16,1,1,0,0,1,0,2,24427.00,50.00,24377.00,
2025-01-14,TRADED,,2025-01-16,13,6,7,13,0,0,26,-10777.00,650.00,-11427.00,
2025-01-15,TRADED,,2025-01-16,7,3,4,7,0,0,14,-7098.00,350.00,-7448.00,
2025-01-16,TRADED,,2025-01-16,3,0,3,3,0,0,6,-4264.00,150.00,-4414.00,
2025-01-17,TRADED,,2025-01-23,4,3,1,4,0,0,8,-7048.60,200.00,-7248.60,
2025-01-20,TRADED,,2025-01-23,3,0,3,2,1,0,6,16078.40,150.00,15928.40,
2025-01-21,TRADED,,2025-01-23,7,4,3,6,1,0,14,15337.40,350.00,14987.40,
2025-01-22,TRADED,,2025-01-23,2,1,1,1,1,0,4,23816.00,100.00,23716.00,
2025-01-23,TRADED,,2025-01-23,2,1,1,2,0,0,4,7826.00,100.00,7726.00,
2025-01-24,TRADED,,2025-01-30,6,4,2,5,1,0,12,-1326.00,300.00,-1626.00,
2025-01-27,TRADED,,2025-01-30,1,1,0,0,1,0,2,17810.00,50.00,17760.00,
2025-01-28,TRADED,,2025-01-30,5,0,5,5,0,0,10,1505.40,250.00,1255.40,
2025-01-29,TRADED,,2025-01-30,3,1,2,2,1,0,6,7303.40,150.00,7153.40,
2025-01-30,TRADED,,2025-01-30,4,2,2,4,0,0,8,30084.60,200.00,29884.60,
2025-01-31,TRADED,,2025-02-06,1,0,1,0,1,0,2,35347.00,50.00,35297.00,
2025-02-01,TRADED,,2025-02-06,8,6,2,8,0,0,16,5187.00,400.00,4787.00,
2025-02-03,TRADED,,2025-02-06,6,3,3,5,1,0,12,-13673.40,300.00,-13973.40,
2025-02-04,TRADED,,2025-02-06,1,0,1,0,1,0,2,18837.00,50.00,18787.00,
2025-02-05,TRADED,,2025-02-06,6,3,3,5,1,0,12,-4555.20,300.00,-4855.20,
2025-02-06,TRADED,,2025-02-06,1,1,0,0,1,0,2,15158.00,50.00,15108.00,
2025-02-07,TRADED,,2025-02-13,8,4,4,7,1,0,16,-14913.60,400.00,-15313.60,
2025-02-10,TRADED,,2025-02-13,2,1,1,2,0,0,4,7943.00,100.00,7843.00,
2025-02-11,TRADED,,2025-02-13,1,1,0,0,1,0,2,28480.40,50.00,28430.40,
2025-02-12,TRADED,,2025-02-13,8,3,5,8,0,0,16,-10855.00,400.00,-11255.00,
2025-02-13,TRADED,,2025-02-13,2,1,1,1,1,0,4,30277.00,100.00,30177.00,
2025-02-14,TRADED,,2025-02-20,3,1,2,2,1,0,6,9204.00,150.00,9054.00,
2025-02-17,TRADED,,2025-02-20,10,4,6,9,1,0,20,-10296.00,500.00,-10796.00,
2025-02-18,TRADED,,2025-02-20,7,4,3,6,1,0,14,-12129.00,350.00,-12479.00,
2025-02-19,TRADED,,2025-02-20,6,4,2,6,0,0,12,3432.00,300.00,3132.00,
2025-02-20,TRADED,,2025-02-20,5,3,2,4,1,0,10,1300.00,250.00,1050.00,
2025-02-21,TRADED,,2025-02-27,2,1,1,2,0,0,4,7412.60,100.00,7312.60,
2025-02-24,TRADED,,2025-02-27,1,1,0,0,1,0,2,10166.00,50.00,10116.00,
2025-02-25,TRADED,,2025-02-27,10,4,6,9,1,0,20,-7849.40,500.00,-8349.40,
2025-02-27,TRADED,,2025-02-27,5,2,3,5,0,0,10,5571.80,250.00,5321.80,
2025-02-28,TRADED,,2025-03-06,1,1,0,0,1,0,2,22594.00,50.00,22544.00,
2025-03-03,TRADED,,2025-03-06,5,1,4,4,1,0,10,4849.00,250.00,4599.00,
2025-03-04,TRADED,,2025-03-06,6,4,2,5,1,0,12,-12051.00,300.00,-12351.00,
2025-03-05,TRADED,,2025-03-06,1,0,1,0,1,0,2,11193.00,50.00,11143.00,
2025-03-06,TRADED,,2025-03-06,7,3,4,6,1,0,14,949.00,350.00,599.00,
2025-03-07,TRADED,,2025-03-13,9,3,6,9,0,0,18,-7371.00,450.00,-7821.00,
2025-03-10,TRADED,,2025-03-13,7,4,3,6,1,0,14,13624.00,350.00,13274.00,
2025-03-11,TRADED,,2025-03-13,3,1,2,2,1,0,6,-13845.00,150.00,-13995.00,
2025-03-12,TRADED,,2025-03-13,6,3,3,5,1,0,12,4563.00,300.00,4263.00,
2025-03-13,TRADED,,2025-03-13,2,1,1,1,1,0,4,-208.00,100.00,-308.00,
2025-03-17,TRADED,,2025-03-20,8,2,6,7,1,0,16,-19302.40,400.00,-19702.40,
2025-03-18,TRADED,,2025-03-20,1,0,1,0,1,0,2,18694.00,50.00,18644.00,
2025-03-19,TRADED,,2025-03-20,1,0,1,0,1,0,2,8031.40,50.00,7981.40,
2025-03-20,TRADED,,2025-03-20,1,0,1,0,1,0,2,11011.00,50.00,10961.00,
2025-03-21,TRADED,,2025-03-27,2,0,2,1,1,0,4,13364.00,100.00,13264.00,
2025-03-24,TRADED,,2025-03-27,1,0,1,0,1,0,2,15522.00,50.00,15472.00,
2025-03-25,TRADED,,2025-03-27,13,7,6,12,1,0,26,-22898.20,650.00,-23548.20,
2025-03-26,TRADED,,2025-03-27,4,4,0,3,1,0,8,11609.00,200.00,11409.00,
2025-03-27,TRADED,,2025-03-27,4,1,3,4,0,0,8,1487.20,200.00,1287.20,
2025-03-28,TRADED,,2025-04-03,10,5,5,10,0,0,20,-15717.00,500.00,-16217.00,
2025-04-01,TRADED,,2025-04-03,3,2,1,2,1,0,6,12597.00,150.00,12447.00,
2025-04-02,TRADED,,2025-04-03,4,0,4,3,1,0,8,1157.00,200.00,957.00,
2025-04-03,TRADED,,2025-04-03,10,6,4,9,1,0,20,-5176.60,500.00,-5676.60,
2025-04-04,TRADED,,2025-04-09,1,1,0,0,1,0,2,23127.00,50.00,23077.00,
2025-04-07,TRADED,,2025-04-09,1,1,0,1,0,0,2,-2116.40,50.00,-2166.40,
2025-04-08,TRADED,,2025-04-09,1,0,1,0,1,0,2,-2561.00,50.00,-2611.00,
2025-04-09,TRADED,,2025-04-09,1,1,0,0,1,0,2,19851.00,50.00,19801.00,
2025-04-11,TRADED,,2025-04-17,2,0,2,1,1,0,4,-4940.00,100.00,-5040.00,
2025-04-15,TRADED,,2025-04-17,1,0,1,0,1,0,2,8905.00,50.00,8855.00,
2025-04-16,TRADED,,2025-04-17,8,4,4,7,1,0,16,-18213.00,400.00,-18613.00,
2025-04-17,TRADED,,2025-04-17,5,2,3,4,1,0,10,13777.40,250.00,13527.40,
2025-04-21,TRADED,,2025-04-24,1,0,1,0,1,0,2,27456.00,50.00,27406.00,
2025-04-22,TRADED,,2025-04-24,6,2,4,5,1,0,12,4862.00,300.00,4562.00,
2025-04-23,TRADED,,2025-04-24,7,3,4,6,1,0,14,-17329.00,350.00,-17679.00,
2025-04-24,TRADED,,2025-04-24,4,1,3,3,1,0,8,5826.60,200.00,5626.60,
2025-04-25,TRADED,,2025-04-30,6,1,5,5,1,0,12,12781.60,300.00,12481.60,
2025-04-28,TRADED,,2025-04-30,1,0,1,0,1,0,2,16913.00,50.00,16863.00,
2025-04-29,TRADED,,2025-04-30,9,2,7,8,1,0,18,-27471.60,450.00,-27921.60,
2025-04-30,TRADED,,2025-04-30,16,8,8,15,1,0,32,-10491.00,800.00,-11291.00,
2025-05-02,TRADED,,2025-05-08,6,4,2,6,0,0,12,-25103.00,300.00,-25403.00,
2025-05-05,TRADED,,2025-05-08,1,0,1,1,0,0,2,12945.40,50.00,12895.40,
2025-05-06,TRADED,,2025-05-08,2,2,0,2,0,0,4,6370.00,100.00,6270.00,
2025-05-07,TRADED,,2025-05-08,10,4,6,9,1,0,20,-13694.20,500.00,-14194.20,
2025-05-08,TRADED,,2025-05-08,4,1,3,3,1,0,8,4576.00,200.00,4376.00,
2025-05-09,TRADED,,2025-05-15,1,1,0,0,1,0,2,19266.00,50.00,19216.00,
2025-05-12,TRADED,,2025-05-15,1,0,1,0,1,0,2,13728.00,50.00,13678.00,
2025-05-13,TRADED,,2025-05-15,7,6,1,6,1,0,14,-10829.00,350.00,-11179.00,
2025-05-14,TRADED,,2025-05-15,7,4,3,7,0,0,14,-15792.40,350.00,-16142.40,
2025-05-15,TRADED,,2025-05-15,9,3,6,8,1,0,18,5920.20,450.00,5470.20,
2025-05-16,TRADED,,2025-05-22,10,5,5,9,1,0,20,-12820.60,500.00,-13320.60,
2025-05-19,TRADED,,2025-05-22,11,7,4,10,1,0,22,-2327.00,550.00,-2877.00,
