entry_date,status,skip_reason,expiry_date,signal_timestamp,signal_close,spot_sma_25,spot_signal_relation,entry_timestamp,atm_strike,sold_side,contract_name,option_entry_open,exit_timestamp,option_exit_open,exit_reason,exit_spot_ma,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:15:00+05:30,23640.85,23601.22,ABOVE_SMA,2025-01-01T09:30:00+05:30,23650,PE,NIFTY_23650_PE_02_JAN_25.csv,114.35,2025-01-01T09:43:00+05:30,136.44,stop_loss_ma_touch,23601.22,-6263.40,50.00,-6313.40,
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:30:00+05:30,23610.6,23604.70,ABOVE_SMA,2025-01-01T09:45:00+05:30,23600,PE,NIFTY_23600_PE_02_JAN_25.csv,112.9,2025-01-01T09:46:00+05:30,119.35,stop_loss_ma_touch,23604.70,-2197.00,50.00,-2247.00,
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:45:00+05:30,23592.05,23607.16,BELOW_SMA,2025-01-01T10:00:00+05:30,23600,CE,NIFTY_23600_CE_02_JAN_25.csv,133.3,2025-01-01T10:11:00+05:30,142.15,stop_loss_ma_touch,23607.16,-2821.00,50.00,-2871.00,
2025-01-01,TRADED,,2025-01-02,2025-01-01T10:00:00+05:30,23629.6,23613.55,ABOVE_SMA,2025-01-01T10:15:00+05:30,23650,PE,NIFTY_23650_PE_02_JAN_25.csv,118.35,2025-01-01T15:15:00+05:30,69.2,day_close,23715.40,12259.00,50.00,12209.00,
2025-01-02,TRADED,,2025-01-02,2025-01-02T09:15:00+05:30,23766.2,23724.01,ABOVE_SMA,2025-01-02T09:30:00+05:30,23750,PE,NIFTY_23750_PE_02_JAN_25.csv,108.5,2025-01-02T15:15:00+05:30,0.2,day_close,23996.60,27638.00,50.00,27588.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T09:15:00+05:30,24133.3,24027.65,ABOVE_SMA,2025-01-03T09:30:00+05:30,24150,PE,NIFTY_24150_PE_09_JAN_25.csv,197.95,2025-01-03T10:12:00+05:30,233.8,stop_loss_ma_touch,24046.92,-9841.00,50.00,-9891.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T10:00:00+05:30,24042.2,24055.25,BELOW_SMA,2025-01-03T10:15:00+05:30,24050,CE,NIFTY_24050_CE_09_JAN_25.csv,163.19,2025-01-03T10:16:00+05:30,166.2,stop_loss_ma_touch,24055.25,-1302.60,50.00,-1352.60,
2025-01-03,TRADED,,2025-01-09,2025-01-03T10:15:00+05:30,24047.0,24061.99,BELOW_SMA,2025-01-03T10:30:00+05:30,24050,CE,NIFTY_24050_CE_09_JAN_25.csv,159.5,2025-01-03T11:19:00+05:30,171.2,stop_loss_ma_touch,24075.42,-3562.00,50.00,-3612.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T11:15:00+05:30,24113.2,24081.26,ABOVE_SMA,2025-01-03T11:30:00+05:30,24100,PE,NIFTY_24100_PE_09_JAN_25.csv,162.0,2025-01-03T12:07:00+05:30,149.75,stop_loss_ma_touch,24095.98,2665.00,50.00,2615.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T12:00:00+05:30,24114.4,24102.94,ABOVE_SMA,2025-01-03T12:15:00+05:30,24100,PE,NIFTY_24100_PE_09_JAN_25.csv,149.6,2025-01-03T12:16:00+05:30,161.85,stop_loss_ma_touch,24102.94,-3705.00,50.00,-3755.00,
