entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,PE,NIFTY_23750_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,95.9,2025-01-02T09:16:00+05:30,85.45,2197.00,50.00,2147.00,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,PE,NIFTY_24150_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,168.6,2025-01-03T09:16:00+05:30,188.8,-5772.00,50.00,-5822.00,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:15:00+05:30,23990.15,24065.33,BELOW_SMA,24000,CE,NIFTY_24000_CE_09_JAN_25.csv,2025-01-03T15:29:00+05:30,147.94,2025-01-06T09:16:00+05:30,165.9,-5189.60,50.00,-5239.60,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:15:00+05:30,23629.6,23748.89,BELOW_SMA,23650,CE,NIFTY_23650_CE_09_JAN_25.csv,2025-01-06T15:29:00+05:30,185.05,2025-01-07T09:16:00+05:30,223.6,-10543.00,50.00,-10593.00,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:15:00+05:30,23694.6,23727.07,BELOW_SMA,23700,CE,NIFTY_23700_CE_09_JAN_25.csv,2025-01-07T15:29:00+05:30,117.65,2025-01-08T09:16:00+05:30,103.7,3107.00,50.00,3057.00,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:15:00+05:30,23675.2,23611.72,ABOVE_SMA,23700,PE,NIFTY_23700_PE_09_JAN_25.csv,2025-01-08T15:29:00+05:30,77.55,2025-01-09T09:16:00+05:30,103.65,-7306.00,50.00,-7356.00,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:15:00+05:30,23557.2,23561.38,BELOW_SMA,23550,CE,NIFTY_23550_CE_16_JAN_25.csv,2025-01-09T15:29:00+05:30,209.0,2025-01-10T09:16:00+05:30,188.85,4719.00,50.00,4669.00,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:15:00+05:30,23437.35,23475.84,BELOW_SMA,23450,CE,NIFTY_23450_CE_16_JAN_25.csv,2025-01-10T15:29:00+05:30,165.35,2025-01-13T09:16:00+05:30,81.15,21372.00,50.00,21322.00,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:15:00+05:30,23088.7,23198.22,BELOW_SMA,23100,CE,NIFTY_23100_CE_16_JAN_25.csv,2025-01-13T15:29:00+05:30,154.19,2025-01-14T09:16:00+05:30,195.3,-11208.60,50.00,-11258.60,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:15:00+05:30,23206.85,23183.34,ABOVE_SMA,23200,PE,NIFTY_23200_PE_16_JAN_25.csv,2025-01-14T15:29:00+05:30,63.75,2025-01-15T09:16:00+05:30,57.95,988.00,50.00,938.00,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:15:00+05:30,23228.1,23219.45,ABOVE_SMA,23250,PE,NIFTY_23250_PE_16_JAN_25.csv,2025-01-15T15:29:00+05:30,72.8,2025-01-16T09:16:00+05:30,19.55,13325.00,50.00,13275.00,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:15:00+05:30,23350.8,23312.68,ABOVE_SMA,23350,PE,NIFTY_23350_PE_23_JAN_25.csv,2025-01-16T15:29:00+05:30,176.6,2025-01-17T09:16:00+05:30,236.55,-16107.00,50.00,-16157.00,
2025-01-17,TRADED,,2025-01-23,2025-01-20,2025-01-17T15:15:00+05:30,23203.1,23197.05,ABOVE_SMA,23200,PE,NIFTY_23200_PE_23_JAN_25.csv,2025-01-17T15:29:00+05:30,148.94,2025-01-20T09:16:00+05:30,120.75,6809.40,50.00,6759.40,
2025-01-20,TRADED,,2025-01-23,2025-01-21,2025-01-20T15:15:00+05:30,23337.05,23312.84,ABOVE_SMA,23350,PE,NIFTY_23350_PE_23_JAN_25.csv,2025-01-20T15:29:00+05:30,133.8,2025-01-21T09:16:00+05:30,111.6,5252.00,50.00,5202.00,
