entry_date,status,skip_reason,expiry_date,exit_date,spot_entry_timestamp,spot_entry_open,spot_exit_timestamp,spot_exit_open,atm_strike,sell_ce_strike,sell_ce_entry_timestamp,sell_ce_entry_open,sell_ce_exit_timestamp,sell_ce_exit_open,sell_pe_strike,sell_pe_entry_timestamp,sell_pe_entry_open,sell_pe_exit_timestamp,sell_pe_exit_open,buy_ce_strike,buy_ce_entry_timestamp,buy_ce_entry_open,buy_ce_exit_timestamp,buy_ce_exit_open,buy_pe_strike,buy_pe_entry_timestamp,buy_pe_entry_open,buy_pe_exit_timestamp,buy_pe_exit_open,entry_credit_points,entry_debit_points,net_entry_credit_points,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-01-06,TRADED,,2025-01-16,2025-01-13,2025-01-06T09:30:00+05:30,24035.65,2025-01-13T09:25:00+05:30,23229.4,24050,24750,2025-01-06T09:30:00+05:30,30.55,2025-01-13T09:25:00+05:30,1.65,23250,2025-01-06T09:30:00+05:30,29.9,2025-01-13T09:25:00+05:30,168.05,25050,2025-01-06T09:30:00+05:30,10.5,2025-01-13T09:25:00+05:30,1.4,22850,2025-01-06T09:30:00+05:30,8.9,2025-01-13T09:25:00+05:30,49.4,60.45,19.40,41.05,-22321.00,200.00,-22521.00,0,
2025-01-13,TRADED,,2025-01-23,2025-01-20,2025-01-13T09:30:00+05:30,23255.95,2025-01-20T09:25:00+05:30,23211.1,23250,24050,2025-01-13T09:30:00+05:30,31.75,2025-01-20T09:25:00+05:30,4.3,22300,2025-01-13T09:30:00+05:30,29.3,2025-01-20T09:25:00+05:30,6.3,24500,2025-01-13T09:30:00+05:30,10.1,2025-01-20T09:25:00+05:30,1.9,21700,2025-01-13T09:30:00+05:30,9.55,2025-01-20T09:25:00+05:30,1.6,61.05,19.65,41.40,6838.00,200.00,6638.00,0,
2025-01-20,TRADED,,2025-01-30,2025-01-27,2025-01-20T09:30:00+05:30,23208.9,2025-01-27T09:25:00+05:30,22961.7,23200,24050,2025-01-20T09:30:00+05:30,29.6,2025-01-27T09:25:00+05:30,3.1,22250,2025-01-20T09:30:00+05:30,28.8,2025-01-27T09:25:00+05:30,12.75,24500,2025-01-20T09:30:00+05:30,10.05,2025-01-27T09:25:00+05:30,1.8,21750,2025-01-20T09:30:00+05:30,9.35,2025-01-27T09:25:00+05:30,2.4,58.40,19.40,39.00,5031.00,200.00,4831.00,0,
2025-01-27,TRADED,,2025-02-06,2025-02-03,2025-01-27T09:30:00+05:30,22967.55,2025-02-03T09:25:00+05:30,23274.6,22950,24200,2025-01-27T09:30:00+05:30,31.9,2025-02-03T09:25:00+05:30,4.59,21700,2025-01-27T09:30:00+05:30,31.05,2025-02-03T09:25:00+05:30,2.1,24750,2025-01-27T09:30:00+05:30,10.6,2025-02-03T09:25:00+05:30,1.95,21250,2025-01-27T09:30:00+05:30,10.5,2025-02-03T09:25:00+05:30,1.55,62.95,21.10,41.85,7971.60,200.00,7771.60,0,
2025-02-03,TRADED,,2025-02-13,2025-02-10,2025-02-03T09:30:00+05:30,23334.2,2025-02-10T09:25:00+05:30,23496.9,23350,24050,2025-02-03T09:30:00+05:30,28.85,2025-02-10T09:25:00+05:30,14.5,22450,2025-02-03T09:30:00+05:30,29.7,2025-02-10T09:25:00+05:30,2.29,24450,2025-02-03T09:30:00+05:30,9.25,2025-02-10T09:25:00+05:30,2.45,22000,2025-02-03T09:30:00+05:30,9.4,2025-02-10T09:25:00+05:30,1.2,58.55,18.65,39.90,4877.60,200.00,4677.60,0,
2025-02-10,TRADED,,2025-02-20,2025-02-17,2025-02-10T09:30:00+05:30,23473.65,2025-02-17T09:25:00+05:30,22842.0,23450,24150,2025-02-10T09:30:00+05:30,32.65,2025-02-17T09:25:00+05:30,1.4,22750,2025-02-10T09:30:00+05:30,32.0,2025-02-17T09:25:00+05:30,110.55,24450,2025-02-10T09:30:00+05:30,11.2,2025-02-17T09:25:00+05:30,1.1,22400,2025-02-10T09:30:00+05:30,11.1,2025-02-17T09:25:00+05:30,32.2,64.65,22.30,42.35,-11518.00,200.00,-11718.00,0,
2025-02-17,TRADED,,2025-02-27,2025-02-24,2025-02-17T09:30:00+05:30,22830.35,2025-02-24T09:25:00+05:30,22625.7,22850,23650,2025-02-17T09:30:00+05:30,31.05,2025-02-24T09:25:00+05:30,2.1,22050,2025-02-17T09:30:00+05:30,31.7,2025-02-24T09:25:00+05:30,8.25,24000,2025-02-17T09:30:00+05:30,10.55,2025-02-24T09:25:00+05:30,1.5,21600,2025-02-17T09:30:00+05:30,9.9,2025-02-24T09:25:00+05:30,2.2,62.75,20.45,42.30,7189.00,200.00,6989.00,0,
2025-02-24,TRADED,,2025-03-06,2025-03-03,2025-02-24T09:30:00+05:30,22619.95,2025-03-03T09:25:00+05:30,22186.65,22600,23300,2025-02-24T09:30:00+05:30,32.5,2025-03-03T09:25:00+05:30,1.45,21950,2025-02-24T09:30:00+05:30,31.0,2025-03-03T09:25:00+05:30,43.3,23600,2025-02-24T09:30:00+05:30,11.15,2025-03-03T09:25:00+05:30,1.1,21550,2025-02-24T09:30:00+05:30,10.15,2025-03-03T09:25:00+05:30,8.3,63.50,21.30,42.20,-299.00,200.00,-499.00,0,
2025-03-03,TRADED,,2025-03-13,2025-03-10,2025-03-03T09:30:00+05:30,22173.2,2025-03-10T09:25:00+05:30,22597.3,22150,22800,2025-03-03T09:30:00+05:30,28.95,2025-03-10T09:25:00+05:30,46.5,21550,2025-03-03T09:30:00+05:30,30.95,2025-03-10T09:25:00+05:30,2.5,23100,2025-03-03T09:30:00+05:30,8.69,2025-03-10T09:25:00+05:30,6.8,21150,2025-03-03T09:30:00+05:30,10.6,2025-03-10T09:25:00+05:30,1.3,59.90,19.29,40.61,-2155.40,200.00,-2355.40,0,
2025-03-10,TRADED,,2025-03-20,2025-03-17,2025-03-10T09:30:00+05:30,22582.85,2025-03-17T09:25:00+05:30,22514.95,22600,23150,2025-03-10T09:30:00+05:30,28.95,2025-03-17T09:25:00+05:30,3.0,21900,2025-03-10T09:30:00+05:30,30.1,2025-03-17T09:25:00+05:30,6.05,23450,2025-03-10T09:30:00+05:30,8.75,2025-03-17T09:25:00+05:30,1.25,21500,2025-03-10T09:30:00+05:30,9.6,2025-03-17T09:25:00+05:30,2.25,59.05,18.35,40.70,7059.00,200.00,6859.00,0,
