entry_date,status,skip_reason,expiry_date,next_trading_day,lot_size,lots,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,bought_side,sold_side,bought_contract_name,bought_option_entry_timestamp,bought_option_entry_open,bought_option_exit_timestamp,bought_option_exit_open,sold_contract_name,sold_option_entry_timestamp,sold_option_entry_open,sold_option_exit_timestamp,sold_option_exit_open,bought_gross_pnl,sold_gross_pnl,gross_pnl,brokerage,net_pnl,remarks
2022-05-05,SKIPPED,missing_entry_or_exit_timestamp,2022-05-12,2022-05-06,50,0,2022-05-05T15:15:00+05:30,16669.2,16817.24,BELOW_SMA,16650,PE,CE,NIFTY_16650_PE_12_MAY_22.csv,2022-05-05T15:29:00+05:30,,2022-05-06T09:16:00+05:30,,NIFTY_16650_CE_12_MAY_22.csv,2022-05-05T15:29:00+05:30,,2022-05-06T09:16:00+05:30,,0.00,0.00,0.00,0.00,0.00,NIFTY_16650_PE_12_MAY_22.csv missing entry timestamp 2022-05-05T15:29:00+05:30; NIFTY_16650_CE_12_MAY_22.csv missing entry timestamp 2022-05-05T15:29:00+05:30
2022-05-06,TRADED,,2022-05-12,2022-05-09,50,12,2022-05-06T15:15:00+05:30,16438.2,16405.61,ABOVE_SMA,16450,CE,PE,NIFTY_16450_CE_12_MAY_22.csv,2022-05-06T15:29:00+05:30,164.3,2022-05-09T09:16:00+05:30,76.45,NIFTY_16450_PE_12_MAY_22.csv,2022-05-06T15:29:00+05:30,182.45,2022-05-09T09:16:00+05:30,277.9,-53910.00,-58470.00,-112380.00,100.00,-112480.00,
2022-05-09,TRADED,,2022-05-12,2022-05-10,50,12,2022-05-09T15:15:00+05:30,16308.4,16285.35,ABOVE_SMA,16300,CE,PE,NIFTY_16300_CE_12_MAY_22.csv,2022-05-09T15:29:00+05:30,147.5,2022-05-10T09:16:00+05:30,150.8,NIFTY_16300_PE_12_MAY_22.csv,2022-05-09T15:29:00+05:30,142.5,2022-05-10T09:16:00+05:30,129.95,780.00,6330.00,7110.00,100.00,7010.00,
2022-05-10,TRADED,,2022-05-12,2022-05-11,50,12,2022-05-10T15:15:00+05:30,16207.8,16322.52,BELOW_SMA,16200,PE,CE,NIFTY_16200_PE_12_MAY_22.csv,2022-05-10T15:29:00+05:30,115.75,2022-05-11T09:16:00+05:30,71.2,NIFTY_16200_CE_12_MAY_22.csv,2022-05-10T15:29:00+05:30,130.2,2022-05-11T09:16:00+05:30,156.3,-27930.00,-16860.00,-44790.00,100.00,-44890.00,
2022-05-11,TRADED,,2022-05-12,2022-05-12,50,12,2022-05-11T15:15:00+05:30,16202.2,16136.88,ABOVE_SMA,16200,CE,PE,NIFTY_16200_CE_12_MAY_22.csv,2022-05-11T15:29:00+05:30,83.2,2022-05-12T09:16:00+05:30,6.45,NIFTY_16200_PE_12_MAY_22.csv,2022-05-11T15:29:00+05:30,82.8,2022-05-12T09:16:00+05:30,211.45,-47250.00,-78390.00,-125640.00,100.00,-125740.00,
2022-05-12,SKIPPED,missing_entry_or_exit_timestamp,2022-05-19,2022-05-13,50,0,2022-05-12T15:15:00+05:30,15826.5,15849.52,BELOW_SMA,15850,PE,CE,NIFTY_15850_PE_19_MAY_22.csv,2022-05-12T15:29:00+05:30,,2022-05-13T09:16:00+05:30,,NIFTY_15850_CE_19_MAY_22.csv,2022-05-12T15:29:00+05:30,,2022-05-13T09:16:00+05:30,,0.00,0.00,0.00,0.00,0.00,NIFTY_15850_PE_19_MAY_22.csv missing entry timestamp 2022-05-12T15:29:00+05:30; NIFTY_15850_CE_19_MAY_22.csv missing entry timestamp 2022-05-12T15:29:00+05:30
2022-05-13,TRADED,,2022-05-19,2022-05-16,50,12,2022-05-13T15:15:00+05:30,15767.2,15960.80,BELOW_SMA,15750,PE,CE,NIFTY_15750_PE_19_MAY_22.csv,2022-05-13T15:29:00+05:30,167.0,2022-05-16T09:16:00+05:30,143.4,NIFTY_15750_CE_19_MAY_22.csv,2022-05-13T15:29:00+05:30,189.95,2022-05-16T09:16:00+05:30,210.9,-15360.00,-13770.00,-29130.00,100.00,-29230.00,
2022-05-16,TRADED,,2022-05-19,2022-05-17,50,12,2022-05-16T15:15:00+05:30,15864.5,15873.55,BELOW_SMA,15850,PE,CE,NIFTY_15850_PE_19_MAY_22.csv,2022-05-16T15:29:00+05:30,148.1,2022-05-17T09:16:00+05:30,107.6,NIFTY_15850_CE_19_MAY_22.csv,2022-05-16T15:29:00+05:30,150.0,2022-05-17T09:16:00+05:30,181.3,-25500.00,-19980.00,-45480.00,100.00,-45580.00,
2022-05-17,TRADED,,2022-05-19,2022-05-18,50,12,2022-05-17T15:15:00+05:30,16282.6,16126.58,ABOVE_SMA,16300,CE,PE,NIFTY_16300_CE_19_MAY_22.csv,2022-05-17T15:29:00+05:30,96.0,2022-05-18T09:16:00+05:30,105.9,NIFTY_16300_PE_19_MAY_22.csv,2022-05-17T15:29:00+05:30,123.5,2022-05-18T09:16:00+05:30,100.85,4740.00,12390.00,17130.00,100.00,17030.00,
2022-05-18,TRADED,,2022-05-19,2022-05-19,50,12,2022-05-18T15:15:00+05:30,16256.5,16308.97,BELOW_SMA,16250,PE,CE,NIFTY_16250_PE_19_MAY_22.csv,2022-05-18T15:29:00+05:30,76.55,2022-05-19T09:16:00+05:30,280.0,NIFTY_16250_CE_19_MAY_22.csv,2022-05-18T15:29:00+05:30,73.0,2022-05-19T09:16:00+05:30,3.2,120870.00,40680.00,161550.00,100.00,161450.00,
