entry_date,status,skip_reason,next_trading_day,candle_1_timestamp,candle_1_open,candle_1_close,candle_1_color,candle_2_timestamp,candle_2_open,candle_2_close,candle_2_color,candle_3_timestamp,candle_3_open,candle_3_close,candle_3_color,entry_timestamp,entry_price_points,exit_timestamp,exit_open_points,points_pnl,rupees_pnl,remarks
2022-05-05,SKIPPED,last_3_candles_not_all_green,,2022-05-05T14:45:00+05:30,16699.4,16714.3,GREEN,2022-05-05T15:00:00+05:30,16712.8,16682.8,RED,2022-05-05T15:15:00+05:30,16682.9,16669.2,RED,2022-05-05T15:15:00+05:30,16669.2,,,0.00,0.00,"Signal candle colors were GREEN, RED, RED."
2022-05-06,SKIPPED,last_3_candles_not_all_green,,2022-05-06T14:45:00+05:30,16395.6,16391.1,RED,2022-05-06T15:00:00+05:30,16390.8,16410.5,GREEN,2022-05-06T15:15:00+05:30,16411.8,16438.2,GREEN,2022-05-06T15:15:00+05:30,16438.2,,,0.00,0.00,"Signal candle colors were RED, GREEN, GREEN."
2022-05-09,SKIPPED,last_3_candles_not_all_green,,2022-05-09T14:45:00+05:30,16343.8,16328.8,RED,2022-05-09T15:00:00+05:30,16328.0,16306.5,RED,2022-05-09T15:15:00+05:30,16306.2,16308.4,GREEN,2022-05-09T15:15:00+05:30,16308.4,,,0.00,0.00,"Signal candle colors were RED, RED, GREEN."
2022-05-10,SKIPPED,last_3_candles_not_all_green,,2022-05-10T14:45:00+05:30,16354.0,16278.3,RED,2022-05-10T15:00:00+05:30,16280.1,16239.5,RED,2022-05-10T15:15:00+05:30,16239.8,16207.8,RED,2022-05-10T15:15:00+05:30,16207.8,,,0.00,0.00,"Signal candle colors were RED, RED, RED."
2022-05-11,SKIPPED,last_3_candles_not_all_green,,2022-05-11T14:45:00+05:30,16214.3,16195.3,RED,2022-05-11T15:00:00+05:30,16193.5,16153.9,RED,2022-05-11T15:15:00+05:30,16154.6,16202.2,GREEN,2022-05-11T15:15:00+05:30,16202.2,,,0.00,0.00,"Signal candle colors were RED, RED, GREEN."
2022-05-12,SKIPPED,last_3_candles_not_all_green,,2022-05-12T14:45:00+05:30,15777.5,15825.1,GREEN,2022-05-12T15:00:00+05:30,15824.4,15817.3,RED,2022-05-12T15:15:00+05:30,15817.8,15826.5,GREEN,2022-05-12T15:15:00+05:30,15826.5,,,0.00,0.00,"Signal candle colors were GREEN, RED, GREEN."
2022-05-13,SKIPPED,last_3_candles_not_all_green,,2022-05-13T14:45:00+05:30,15845.8,15850.3,GREEN,2022-05-13T15:00:00+05:30,15853.5,15753.0,RED,2022-05-13T15:15:00+05:30,15753.3,15767.2,GREEN,2022-05-13T15:15:00+05:30,15767.2,,,0.00,0.00,"Signal candle colors were GREEN, RED, GREEN."
2022-05-16,SKIPPED,last_3_candles_not_all_green,,2022-05-16T14:45:00+05:30,15892.9,15854.5,RED,2022-05-16T15:00:00+05:30,15853.5,15822.3,RED,2022-05-16T15:15:00+05:30,15822.4,15864.5,GREEN,2022-05-16T15:15:00+05:30,15864.5,,,0.00,0.00,"Signal candle colors were RED, RED, GREEN."
2022-05-17,SKIPPED,last_3_candles_not_all_green,,2022-05-17T14:45:00+05:30,16234.2,16248.9,GREEN,2022-05-17T15:00:00+05:30,16249.0,16248.2,RED,2022-05-17T15:15:00+05:30,16248.1,16282.6,GREEN,2022-05-17T15:15:00+05:30,16282.6,,,0.00,0.00,"Signal candle colors were GREEN, RED, GREEN."
2022-05-18,SKIPPED,last_3_candles_not_all_green,,2022-05-18T14:45:00+05:30,16270.9,16268.2,RED,2022-05-18T15:00:00+05:30,16268.4,16236.2,RED,2022-05-18T15:15:00+05:30,16235.3,16256.5,GREEN,2022-05-18T15:15:00+05:30,16256.5,,,0.00,0.00,"Signal candle colors were RED, RED, GREEN."
2022-05-19,SKIPPED,last_3_candles_not_all_green,,2022-05-19T14:45:00+05:30,15787.4,15806.7,GREEN,2022-05-19T15:00:00+05:30,15807.0,15783.9,RED,2022-05-19T15:15:00+05:30,15784.4,15828.5,GREEN,2022-05-19T15:15:00+05:30,15828.5,,,0.00,0.00,"Signal candle colors were GREEN, RED, GREEN."
2022-05-20,SKIPPED,last_3_candles_not_all_green,,2022-05-20T14:45:00+05:30,16223.5,16248.5,GREEN,2022-05-20T15:00:00+05:30,16248.8,16279.5,GREEN,2022-05-20T15:15:00+05:30,16279.7,16278.7,RED,2022-05-20T15:15:00+05:30,16278.7,,,0.00,0.00,"Signal candle colors were GREEN, GREEN, RED."
2022-05-23,SKIPPED,last_3_candles_not_all_green,,2022-05-23T14:45:00+05:30,16251.0,16260.0,GREEN,2022-05-23T15:00:00+05:30,16259.5,16210.4,RED,2022-05-23T15:15:00+05:30,16210.1,16191.7,RED,2022-05-23T15:15:00+05:30,16191.7,,,0.00,0.00,"Signal candle colors were GREEN, RED, RED."
