period,days,trades,skipped,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,1,18,1,0,0,171.80,11167.00,171.80,2022-05-27,171.80,11167.00,2022-05-27,171.80,11167.00,1,0,0.00,0.00
2022-06,22,4,18,1,3,0,-296.60,-19279.00,-74.15,2022-06-20,87.10,5661.50,2022-06-09,-197.80,-12857.00,1,3,383.70,24940.50
2022-07,21,2,19,1,1,0,11.40,741.00,5.70,2022-07-06,105.80,6877.00,2022-07-18,-94.40,-6136.00,1,1,94.40,6136.00
2022-08,20,2,18,2,0,0,40.50,2632.50,20.25,2022-08-08,38.30,2489.50,2022-08-18,2.20,143.00,2,0,0.00,0.00
2022-09,22,2,20,2,0,0,241.90,15723.50,120.95,2022-09-08,123.20,8008.00,2022-09-07,118.70,7715.50,2,0,0.00,0.00
2022-10,19,3,16,2,1,0,176.90,11498.50,58.97,2022-10-04,101.80,6617.00,2022-10-27,-2.50,-162.50,2,1,2.50,162.50
2022-11,21,6,15,5,1,0,408.40,26546.00,68.07,2022-11-10,235.50,15307.50,2022-11-15,-23.40,-1521.00,3,1,23.40,1521.00
2022-12,22,3,19,2,1,0,-22.80,-1482.00,-7.60,2022-12-29,48.70,3165.50,2022-12-19,-85.90,-5583.50,1,1,85.90,5583.50
2023-01,21,4,17,2,2,0,25.70,1670.50,6.42,2023-01-30,64.20,4173.00,2023-01-02,-45.70,-2970.50,1,1,45.70,2970.50
2023-02,20,2,18,1,1,0,48.50,3152.50,24.25,2023-02-15,71.60,4654.00,2023-02-27,-23.10,-1501.50,1,1,23.10,1501.50
2023-03,21,4,17,3,1,0,192.30,12499.50,48.08,2023-03-14,97.70,6350.50,2023-03-17,-57.10,-3711.50,2,1,57.10,3711.50
2023-04,17,4,13,1,3,0,-26.70,-1735.50,-6.67,2023-04-24,13.60,884.00,2023-04-05,-27.20,-1768.00,1,2,35.50,2307.50
