report_date,entry_date,exit_date,status,skip_reason,reward_multiple,setup_type,direction,signal_timestamp,entry_timestamp,entry_price_points,stop_price_points,target_price_points,exit_timestamp,exit_price_points,exit_reason,fast_sma_25,slow_sma_50,points_pnl,rupees_pnl,holding_days,remarks
2022-05-10,2022-05-10,2022-05-10,SKIPPED,entry_open_beyond_stop,3,CROSSOVER,LONG,2022-05-10T13:15:00+05:30,,,,,,,,16321.93,16321.29,0.00,0.00,0,Entry open 16321.3 invalidated the LONG setup stop 16323.20.
2022-05-11,2022-05-11,2022-05-11,TRADED,,3,CROSSOVER,SHORT,2022-05-11T10:30:00+05:30,2022-05-11T10:45:00+05:30,16089.7,16121.00,15995.80,2022-05-11T10:45:00+05:30,16121.00,stop_loss,16292.68,16298.31,-31.30,-2034.50,0,
2022-05-13,2022-05-13,2022-05-13,TRADED,,3,CROSSOVER,LONG,2022-05-13T13:45:00+05:30,2022-05-13T14:00:00+05:30,16022.7,16021.50,16026.30,2022-05-13T14:00:00+05:30,16021.50,stop_loss,15952.70,15947.40,-1.20,-78.00,0,Stop and target both hit inside one candle; conservative stop-first fill applied.
2022-05-16,2022-05-16,2022-05-16,TRADED,,3,CROSSOVER,SHORT,2022-05-16T12:30:00+05:30,2022-05-16T12:45:00+05:30,15789.5,15863.20,15568.40,2022-05-16T13:30:00+05:30,15863.20,stop_loss,15906.22,15909.68,-73.70,-4790.50,0,
2022-05-17,2022-05-17,2022-05-17,SKIPPED,entry_open_beyond_stop,3,CROSSOVER,LONG,2022-05-17T11:45:00+05:30,,,,,,,,15935.34,15933.69,0.00,0.00,0,Entry open 16115.0 invalidated the LONG setup stop 16115.90.
2022-05-19,2022-05-19,2022-05-19,TRADED,,3,CROSSOVER,SHORT,2022-05-19T10:30:00+05:30,2022-05-19T10:45:00+05:30,15934.3,15953.70,15876.10,2022-05-19T11:00:00+05:30,15953.70,stop_loss,16207.55,16211.05,-19.40,-1261.00,0,
2022-05-23,2022-05-20,2022-05-23,TRADED,,3,CROSSOVER,LONG,2022-05-20T13:00:00+05:30,2022-05-20T13:15:00+05:30,16207.5,16168.60,16324.20,2022-05-23T09:15:00+05:30,16324.20,target,16040.48,16038.29,116.70,7585.50,3,
2022-05-24,2022-05-24,2022-05-24,TRADED,,3,CROSSOVER,SHORT,2022-05-24T11:45:00+05:30,2022-05-24T12:00:00+05:30,16228.3,16242.50,16185.70,2022-05-24T12:00:00+05:30,16185.70,target,16250.12,16255.55,42.60,2769.00,0,
2022-05-27,2022-05-24,2022-05-27,TRADED,,3,PULLBACK_REENTRY,SHORT,2022-05-24T13:00:00+05:30,2022-05-24T13:15:00+05:30,16163.0,16261.30,15868.10,2022-05-27T09:15:00+05:30,16296.6,gap_stop,16218.08,16259.12,-133.60,-8684.00,3,
2022-05-27,2022-05-27,2022-05-27,TRADED,,3,CROSSOVER,LONG,2022-05-27T10:00:00+05:30,2022-05-27T10:15:00+05:30,16280.0,16253.50,16359.50,2022-05-27T10:15:00+05:30,16253.50,stop_loss,16078.46,16075.28,-26.50,-1722.50,0,
2022-06-01,2022-05-31,2022-06-01,TRADED,,3,CROSSOVER,SHORT,2022-05-31T15:00:00+05:30,2022-05-31T15:15:00+05:30,16557.8,16637.50,16318.70,2022-06-01T09:15:00+05:30,16637.50,stop_loss,16630.53,16634.49,-79.70,-5180.50,1,
2022-06-02,2022-06-02,2022-06-02,TRADED,,3,CROSSOVER,LONG,2022-06-02T14:45:00+05:30,2022-06-02T15:00:00+05:30,16633.2,16615.90,16685.10,2022-06-02T15:00:00+05:30,16615.90,stop_loss,16561.73,16557.89,-17.30,-1124.50,0,
2022-06-06,2022-06-06,2022-06-06,TRADED,,3,CROSSOVER,SHORT,2022-06-06T11:00:00+05:30,2022-06-06T11:15:00+05:30,16502.5,16523.70,16438.90,2022-06-06T11:45:00+05:30,16523.70,stop_loss,16628.88,16635.29,-21.20,-1378.00,0,
2022-06-09,2022-06-09,2022-06-09,TRADED,,3,CROSSOVER,LONG,2022-06-09T09:45:00+05:30,2022-06-09T10:00:00+05:30,16324.1,16307.90,16372.70,2022-06-09T10:00:00+05:30,16307.90,stop_loss,16393.78,16393.31,-16.20,-1053.00,0,
