date,status,skip_reason,trades,skipped_rows,long_trades,short_trades,stop_exits,gap_stop_exits,end_of_data_exits,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_points,max_loss_points,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees,remarks
2022-05-05,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-06,TRADED,,2,0,0,2,2,0,0,2,0,0,214.90,13968.50,107.45,206.45,8.45,2,0,0.00,0.00,
2022-05-09,TRADED,,9,0,6,3,8,1,0,0,9,0,-586.02,-38091.30,-65.11,-5.98,-210.50,0,9,586.02,38091.30,
2022-05-10,TRADED,,16,0,13,3,15,1,0,0,16,0,-286.08,-18595.20,-17.88,-0.32,-57.60,0,16,286.08,18595.20,
2022-05-11,TRADED,,3,0,2,1,3,0,0,1,2,0,15.77,1025.05,5.26,114.86,-74.77,1,2,99.09,6440.85,
2022-05-12,TRADED,,1,0,1,0,0,1,0,0,1,0,-132.80,-8632.00,-132.80,-132.80,-132.80,0,1,132.80,8632.00,
2022-05-13,TRADED,,2,0,1,1,1,1,0,0,2,0,-131.30,-8534.50,-65.65,-62.10,-69.20,0,2,131.30,8534.50,
2022-05-16,TRADED,,6,0,3,3,6,0,0,1,5,0,-1.10,-71.50,-0.18,64.88,-22.08,1,3,33.55,2180.75,
2022-05-17,TRADED,,1,0,0,1,0,1,0,0,1,0,-58.10,-3776.50,-58.10,-58.10,-58.10,0,1,58.10,3776.50,
2022-05-18,TRADED,,3,0,2,1,3,0,0,1,2,0,216.49,14071.85,72.16,303.30,-44.34,1,2,86.81,5642.65,
2022-05-19,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-20,TRADED,,1,0,0,1,0,1,0,1,0,0,219.10,14241.50,219.10,219.10,219.10,1,0,0.00,0.00,
2022-05-23,TRADED,,1,0,1,0,1,0,0,1,0,0,207.60,13494.00,207.60,207.60,207.60,1,0,0.00,0.00,
2022-05-24,TRADED,,3,0,1,2,3,0,0,1,2,0,19.09,1240.85,6.36,32.34,-9.63,1,2,13.25,861.25,
2022-05-25,TRADED,,4,0,1,3,3,1,0,0,4,0,-100.47,-6530.55,-25.12,-4.43,-34.10,0,4,100.47,6530.55,
2022-05-26,TRADED,,4,0,0,4,3,1,0,2,2,0,49.61,3224.65,12.40,34.21,-4.61,1,1,4.61,299.65,
2022-05-27,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-30,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-05-31,TRADED,,12,0,5,7,11,1,0,1,11,0,290.54,18885.10,24.21,484.20,-99.64,1,11,193.66,12587.90,
2022-06-01,TRADED,,3,0,0,3,3,0,0,0,3,0,-137.21,-8918.65,-45.74,-9.79,-70.13,0,3,137.21,8918.65,
2022-06-02,TRADED,,4,0,1,3,4,0,0,1,3,0,42.50,2762.50,10.62,70.21,-12.64,1,3,27.71,1801.15,
2022-06-03,TRADED,,3,0,1,2,3,0,0,1,2,0,146.94,9551.10,48.98,163.10,-16.12,1,2,16.16,1050.40,
2022-06-06,TRADED,,3,0,0,3,3,0,0,1,2,0,61.15,3974.75,20.38,67.14,-4.46,1,2,5.99,389.35,
2022-06-07,TRADED,,3,0,2,1,2,1,0,1,2,0,-100.36,-6523.40,-33.45,22.74,-110.20,1,1,110.20,7163.00,
2022-06-08,TRADED,,4,0,2,2,4,0,0,0,4,0,-110.79,-7201.35,-27.70,-4.58,-77.49,0,4,110.79,7201.35,
2022-06-09,TRADED,,6,0,3,3,6,0,0,1,5,0,-33.34,-2167.10,-5.56,17.66,-22.37,1,5,51.00,3315.00,
2022-06-10,TRADED,,1,0,1,0,0,1,0,0,1,0,-80.80,-5252.00,-80.80,-80.80,-80.80,0,1,80.80,5252.00,
2022-06-13,TRADED,,1,0,0,1,1,0,0,1,0,0,480.23,31214.95,480.23,480.23,480.23,1,0,0.00,0.00,
2022-06-14,TRADED,,9,0,4,5,8,1,0,0,9,0,-294.49,-19141.85,-32.72,-0.37,-126.80,0,9,294.49,19141.85,
2022-06-15,TRADED,,6,0,4,2,6,0,0,0,6,0,-79.32,-5155.80,-13.22,-2.88,-36.48,0,6,79.32,5155.80,
2022-06-16,TRADED,,4,0,1,3,3,1,0,0,4,0,-229.85,-14940.25,-57.46,-10.10,-102.10,0,4,229.85,14940.25,
2022-06-17,TRADED,,7,0,3,4,7,0,0,1,6,0,303.39,19720.35,43.34,404.48,-31.35,1,6,101.09,6570.85,
2022-06-20,TRADED,,14,0,6,8,14,0,0,1,13,0,-188.80,-12272.00,-13.49,4.42,-39.46,1,7,188.80,12272.00,
2022-06-21,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-06-22,TRADED,,1,0,1,0,0,1,0,1,0,0,193.50,12577.50,193.50,193.50,193.50,1,0,0.00,0.00,
2022-06-23,TRADED,,5,0,2,3,4,1,0,1,4,0,-57.21,-3718.65,-11.44,31.20,-36.89,1,4,88.41,5746.65,
2022-06-24,HELD,,0,0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,,,0,0,0.00,0.00,Open position carried through this date with no realized exit.
2022-06-27,TRADED,,3,0,2,1,3,0,0,1,2,0,316.61,20579.65,105.54,332.57,-13.57,1,2,15.96,1037.40,
2022-06-28,TRADED,,6,0,3,3,6,0,0,1,5,0,-47.02,-3056.30,-7.84,25.09,-33.04,1,5,72.11,4687.15,
2022-06-29,TRADED,,8,0,4,4,7,1,0,1,7,0,-202.92,-13189.80,-25.36,6.58,-92.00,1,6,202.92,13189.80,
2022-06-30,TRADED,,12,0,5,7,12,0,0,0,12,0,-209.64,-13626.60,-17.47,-1.01,-45.39,0,12,209.64,13626.60,
2022-07-01,TRADED,,5,0,1,4,5,0,0,1,4,0,31.81,2067.65,6.36,83.06,-18.69,1,4,51.25,3331.25,
2022-07-04,TRADED,,1,0,1,0,1,0,0,0,1,0,-40.37,-2624.05,-40.37,-40.37,-40.37,0,1,40.37,2624.05,
