report_date,entry_date,exit_date,status,skip_reason,signal_timestamp,entry_timestamp,signal_close,direction,entry_price_points,entry_sma_25,exit_candle_timestamp,exit_timestamp,exit_price_points,exit_reason,exit_sma_25,points_pnl,rupees_pnl,holding_days,remarks
2022-05-06,2022-05-05,2022-05-06,TRADED,,2022-05-05T15:15:00+05:30,2022-05-05T15:30:00+05:30,16669.2,SHORT,16669.2,16817.24,2022-05-06T14:15:00+05:30,2022-05-06T14:30:00+05:30,16462.75,stop_loss_ma_touch,16462.75,206.45,13419.25,1,
2022-05-06,2022-05-06,2022-05-06,TRADED,,2022-05-06T14:15:00+05:30,2022-05-06T14:30:00+05:30,16423.3,SHORT,16423.3,16450.89,2022-05-06T15:15:00+05:30,2022-05-06T15:30:00+05:30,16414.85,stop_loss_ma_touch,16414.85,8.45,549.25,0,
2022-05-09,2022-05-06,2022-05-09,TRADED,,2022-05-06T15:15:00+05:30,2022-05-06T15:30:00+05:30,16438.2,LONG,16438.2,16405.61,2022-05-09T09:15:00+05:30,2022-05-09T09:15:00+05:30,16227.7,gap_stop,16405.61,-210.50,-13682.50,3,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T09:15:00+05:30,2022-05-09T09:30:00+05:30,16157.9,SHORT,16157.9,16394.33,2022-05-09T12:15:00+05:30,2022-05-09T12:30:00+05:30,16330.74,stop_loss_ma_touch,16330.74,-172.84,-11234.60,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T12:15:00+05:30,2022-05-09T12:30:00+05:30,16339.8,LONG,16339.8,16329.42,2022-05-09T12:30:00+05:30,2022-05-09T12:45:00+05:30,16329.42,stop_loss_ma_touch,16329.42,-10.38,-674.70,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T12:30:00+05:30,2022-05-09T12:45:00+05:30,16391.2,LONG,16391.2,16328.82,2022-05-09T13:00:00+05:30,2022-05-09T13:15:00+05:30,16326.37,stop_loss_ma_touch,16326.37,-64.83,-4213.95,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T13:00:00+05:30,2022-05-09T13:15:00+05:30,16338.0,LONG,16338.0,16325.14,2022-05-09T13:30:00+05:30,2022-05-09T13:45:00+05:30,16320.65,stop_loss_ma_touch,16320.65,-17.35,-1127.75,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T13:30:00+05:30,2022-05-09T13:45:00+05:30,16325.0,LONG,16325.0,16318.04,2022-05-09T13:45:00+05:30,2022-05-09T14:00:00+05:30,16318.04,stop_loss_ma_touch,16318.04,-6.96,-452.40,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T13:45:00+05:30,2022-05-09T14:00:00+05:30,16307.8,SHORT,16307.8,16313.78,2022-05-09T14:00:00+05:30,2022-05-09T14:15:00+05:30,16313.78,stop_loss_ma_touch,16313.78,-5.98,-388.70,0,
2022-05-09,2022-05-09,2022-05-09,TRADED,,2022-05-09T14:00:00+05:30,2022-05-09T14:15:00+05:30,16250.9,SHORT,16250.9,16305.90,2022-05-09T14:30:00+05:30,2022-05-09T14:45:00+05:30,16299.28,stop_loss_ma_touch,16299.28,-48.38,-3144.70,0,
