period,days,skipped_days,trades,skipped_rows,long_trades,short_trades,stop_exits,day_close_exits,winning_days,losing_days,break_even_days,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,1,53,1,27,26,40,13,12,6,0,279.47,18165.55,15.53,2022-05-17,281.40,18291.00,2022-05-09,-324.78,-21110.70,8,3,489.32,31805.80
2022-06,22,0,73,0,33,40,58,15,8,14,0,-607.24,-39470.60,-27.60,2022-06-16,219.15,14244.75,2022-06-30,-207.04,-13457.60,2,4,645.03,41926.95
2022-07,21,0,54,0,30,24,36,18,15,6,0,523.90,34053.50,24.95,2022-07-28,155.20,10088.00,2022-07-14,-67.92,-4414.80,5,2,67.92,4414.80
2022-08,20,0,64,0,35,29,48,16,8,12,0,49.20,3198.00,2.46,2022-08-30,307.90,20013.50,2022-08-04,-253.10,-16451.50,2,4,627.26,40771.90
2022-09,22,0,62,0,30,32,48,14,11,11,0,-250.79,-16301.35,-11.40,2022-09-16,240.80,15652.00,2022-09-19,-252.46,-16409.90,2,4,494.03,32111.95
2022-10,19,1,62,1,34,28,49,13,5,13,0,-499.03,-32436.95,-27.72,2022-10-11,112.56,7316.40,2022-10-17,-124.18,-8071.70,2,10,677.65,44047.25
2022-11,21,0,65,0,38,27,53,12,13,8,0,134.44,8738.60,6.40,2022-11-24,178.70,11615.50,2022-11-14,-129.52,-8418.80,5,3,256.87,16696.55
2022-12,22,0,66,0,36,30,53,13,11,11,0,212.87,13836.55,9.68,2022-12-15,203.80,13247.00,2022-12-12,-227.30,-14774.50,3,4,524.65,34102.25
2023-01,21,0,79,0,33,46,67,12,10,11,0,-18.27,-1187.55,-0.87,2023-01-25,147.20,9568.00,2023-01-11,-256.94,-16701.10,3,4,315.66,20517.90
2023-02,20,0,77,0,38,39,63,14,10,10,0,-39.48,-2566.20,-1.97,2023-02-22,190.10,12356.50,2023-02-23,-183.52,-11928.80,3,2,259.43,16862.95
2023-03,21,0,64,0,33,31,48,16,9,12,0,-132.46,-8609.90,-6.31,2023-03-13,163.36,10618.40,2023-03-16,-206.09,-13395.85,3,5,639.71,41581.15
2023-04,17,0,62,0,39,23,49,13,7,10,0,-50.97,-3313.05,-3.00,2023-04-28,167.30,10874.50,2023-04-18,-92.02,-5981.30,2,6,414.55,26945.75
2023-05,22,0,54,0,27,27,39,15,13,9,0,553.54,35980.10,25.16,2023-05-04,145.80,9477.00,2023-05-30,-61.82,-4018.30,4,3,114.12,7417.80
2023-06,21,0,52,0,28,24,37,15,12,9,0,390.05,25353.25,18.57,2023-06-30,107.00,6955.00,2023-06-12,-69.33,-4506.45,4,3,90.82,5903.30
2023-07,21,0,79,0,37,42,64,15,13,8,0,194.80,12662.00,9.28,2023-07-17,159.40,10361.00,2023-07-18,-160.11,-10407.15,5,2,266.28,17308.20
2023-08,22,0,75,0,37,38,59,16,9,13,0,-153.19,-9957.35,-6.96,2023-08-09,117.03,7606.95,2023-08-08,-104.25,-6776.25,2,6,331.81,21567.65
2023-09,20,0,72,0,40,32,56,16,11,9,0,76.91,4999.15,3.85,2023-09-07,143.70,9340.50,2023-09-12,-185.28,-12043.20,3,3,337.65,21947.25
2023-10,20,0,47,0,24,23,35,12,11,9,0,504.51,32793.15,25.23,2023-10-23,265.75,17273.75,2023-10-19,-146.96,-9552.40,6,4,206.05,13393.25
2023-11,21,1,69,1,35,34,54,15,10,10,0,50.03,3251.95,2.50,2023-11-29,116.80,7592.00,2023-11-30,-117.32,-7625.80,6,5,198.71,12916.15
2023-12,20,0,61,0,41,20,47,14,12,8,0,216.62,14080.30,10.83,2023-12-15,203.70,13240.50,2023-12-21,-215.56,-14011.40,4,4,312.17,20291.05
2024-01,22,0,64,0,34,30,47,17,10,12,0,411.11,26722.15,18.69,2024-01-23,289.23,18799.95,2024-01-25,-129.65,-8427.25,4,3,220.63,14340.95
2024-02,21,0,80,0,44,36,63,17,11,10,0,-225.79,-14676.35,-10.75,2024-02-22,130.36,8473.40,2024-02-02,-187.29,-12173.85,4,2,331.42,21542.30
2024-03,19,1,51,1,28,23,41,10,8,10,0,344.18,22371.70,19.12,2024-03-13,375.85,24430.25,2024-03-18,-181.16,-11775.40,3,3,350.36,22773.40
