period,trades,skipped,long_trades,short_trades,winning_trades,losing_trades,break_even_trades,total_points,total_rupees,average_points,max_profit_date,max_profit_points,max_profit_rupees,max_loss_date,max_loss_points,max_loss_rupees,max_consecutive_wins,max_consecutive_losses,max_drawdown_points,max_drawdown_rupees
2022-05,19,0,8,11,6,13,0,-361.40,-23491.00,-19.02,2022-05-18,339.10,22041.50,2022-05-19,-215.30,-13994.50,2,7,789.80,51337.00
2022-06,22,0,11,11,14,8,0,413.40,26871.00,18.79,2022-06-10,314.00,20410.00,2022-06-09,-197.80,-12857.00,3,2,263.30,17114.50
2022-07,21,0,14,7,9,12,0,452.30,29399.50,21.54,2022-07-19,233.50,15177.50,2022-07-18,-94.40,-6136.00,3,5,350.30,22769.50
2022-08,20,0,14,6,13,7,0,720.10,46806.50,36.01,2022-08-26,394.20,25623.00,2022-08-30,-258.50,-16802.50,3,1,258.50,16802.50
2022-09,22,0,9,13,12,10,0,42.90,2788.50,1.95,2022-09-23,175.90,11433.50,2022-09-13,-295.30,-19194.50,6,3,469.60,30524.00
2022-10,17,2,10,7,10,7,0,-263.70,-17140.50,-15.51,2022-10-17,118.20,7683.00,2022-10-13,-304.50,-19792.50,5,3,766.40,49816.00
2022-11,21,0,12,9,11,10,0,420.90,27358.50,20.04,2022-11-10,235.50,15307.50,2022-11-23,-72.00,-4680.00,5,6,309.90,20143.50
2022-12,22,0,11,11,13,9,0,415.50,27007.50,18.89,2022-12-22,137.00,8905.00,2022-12-05,-93.40,-6071.00,6,3,135.70,8820.50
2023-01,21,0,10,11,11,10,0,-61.70,-4010.50,-2.94,2023-01-31,129.00,8385.00,2023-01-20,-91.10,-5921.50,5,4,361.70,23510.50
2023-02,20,0,9,11,9,11,0,72.40,4706.00,3.62,2023-02-02,110.00,7150.00,2023-02-13,-74.80,-4862.00,2,2,141.80,9217.00
2023-03,21,0,11,10,11,10,0,185.90,12083.50,8.85,2023-03-09,139.00,9035.00,2023-03-02,-132.50,-8612.50,6,5,193.80,12597.00
2023-04,17,0,13,4,11,6,0,231.20,15028.00,13.60,2023-04-21,88.70,5765.50,2023-04-10,-91.70,-5960.50,3,2,91.70,5960.50
2023-05,22,0,11,11,11,11,0,61.00,3965.00,2.77,2023-05-26,127.30,8274.50,2023-05-04,-121.30,-7884.50,5,3,195.40,12701.00
2023-06,21,0,12,9,12,9,0,256.30,16659.50,12.20,2023-06-27,89.60,5824.00,2023-06-02,-86.20,-5603.00,4,3,151.80,9867.00
2023-07,21,0,12,9,10,11,0,-324.70,-21105.50,-15.46,2023-07-03,75.90,4933.50,2023-07-20,-169.50,-11017.50,3,7,532.80,34632.00
2023-08,22,0,8,14,12,10,0,232.10,15086.50,10.55,2023-08-23,92.90,6038.50,2023-08-28,-72.10,-4686.50,2,3,126.10,8196.50
