entry_date,day_of_week,status,skip_reason,expiry_date,expiry_type,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,premium_band,ce_strike,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_strike,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,Wednesday,TRADED,,2025-01-02,current_week,2025-01-02,2025-01-01T15:20:00+05:30,23745.95,23750,CE:20.00-25.00 PE:20.00-30.00(fallback),24050,NIFTY_24050_CE_02_JAN_25.csv,2025-01-01T15:20:00+05:30,21.35,2025-01-02T09:20:00+05:30,23.15,-2.80,-210.00,50.00,-260.00,23450,NIFTY_23450_PE_02_JAN_25.csv,2025-01-01T15:20:00+05:30,26.25,2025-01-02T09:20:00+05:30,18.35,6.90,517.50,50.00,467.50,307.50,100.00,207.50,
2025-01-02,Thursday,TRADED,,2025-01-09,next_week,2025-01-03,2025-01-02T15:20:00+05:30,24189.45,24200,CE:15.00-20.00 PE:15.00-20.00,24750,NIFTY_24750_CE_09_JAN_25.csv,2025-01-02T15:20:00+05:30,17.05,2025-01-03T09:20:00+05:30,17.1,-1.05,-78.75,50.00,-128.75,23400,NIFTY_23400_PE_09_JAN_25.csv,2025-01-02T15:20:00+05:30,19.5,2025-01-03T09:20:00+05:30,18.75,-0.25,-18.75,50.00,-68.75,-97.50,100.00,-197.50,
2025-01-03,Friday,TRADED,,2025-01-09,current_week,2025-01-06,2025-01-03T15:20:00+05:30,24000.3,24000,CE:10.00-15.00 PE:10.00-15.00,24600,NIFTY_24600_CE_09_JAN_25.csv,2025-01-03T15:20:00+05:30,12.05,2025-01-06T09:20:00+05:30,11.2,-0.15,-11.25,50.00,-61.25,23400,NIFTY_23400_PE_09_JAN_25.csv,2025-01-03T15:20:00+05:30,13.9,2025-01-06T09:20:00+05:30,11.55,1.35,101.25,50.00,51.25,90.00,100.00,-10.00,
2025-01-06,Monday,TRADED,,2025-01-09,current_week,2025-01-07,2025-01-06T15:20:00+05:30,23600.6,23600,CE:5.00-10.00 PE:5.00-10.00,24450,NIFTY_24450_CE_09_JAN_25.csv,2025-01-06T15:20:00+05:30,9.3,2025-01-07T09:20:00+05:30,9.94,-1.64,-123.00,50.00,-173.00,22600,NIFTY_22600_PE_09_JAN_25.csv,2025-01-06T15:20:00+05:30,8.75,2025-01-07T09:20:00+05:30,4.2,3.55,266.25,50.00,216.25,143.25,100.00,43.25,
2025-01-07,Tuesday,TRADED,,2025-01-09,current_week,2025-01-08,2025-01-07T15:20:00+05:30,23707.3,23700,CE:20.00-30.00(fallback) PE:20.00-25.00,24000,NIFTY_24000_CE_09_JAN_25.csv,2025-01-07T15:20:00+05:30,25.5,2025-01-08T09:20:00+05:30,15.3,9.20,690.00,50.00,640.00,23350,NIFTY_23350_PE_09_JAN_25.csv,2025-01-07T15:20:00+05:30,21.95,2025-01-08T09:20:00+05:30,18.25,2.70,202.50,50.00,152.50,892.50,100.00,792.50,
2025-01-08,Wednesday,TRADED,,2025-01-09,current_week,2025-01-09,2025-01-08T15:20:00+05:30,23687.4,23700,CE:20.00-30.00(fallback) PE:20.00-30.00(fallback),23850,NIFTY_23850_CE_09_JAN_25.csv,2025-01-08T15:20:00+05:30,26.35,2025-01-09T09:20:00+05:30,9.19,16.16,1212.00,50.00,1162.00,23550,NIFTY_23550_PE_09_JAN_25.csv,2025-01-08T15:20:00+05:30,25.55,2025-01-09T09:20:00+05:30,31.85,-7.30,-547.50,50.00,-597.50,664.50,100.00,564.50,
2025-01-09,Thursday,TRADED,,2025-01-16,next_week,2025-01-10,2025-01-09T15:20:00+05:30,23525.85,23550,CE:15.00-20.00 PE:15.00-20.00,24150,NIFTY_24150_CE_16_JAN_25.csv,2025-01-09T15:20:00+05:30,19.64,2025-01-10T09:20:00+05:30,16.05,2.59,194.25,50.00,144.25,22900,NIFTY_22900_PE_16_JAN_25.csv,2025-01-09T15:20:00+05:30,19.89,2025-01-10T09:20:00+05:30,20.6,-1.71,-128.25,50.00,-178.25,66.00,100.00,-34.00,
2025-01-10,Friday,TRADED,,2025-01-16,current_week,2025-01-13,2025-01-10T15:20:00+05:30,23445.65,23450,CE:10.00-15.00 PE:10.00-15.00,24050,NIFTY_24050_CE_16_JAN_25.csv,2025-01-10T15:20:00+05:30,14.3,2025-01-13T09:20:00+05:30,8.55,4.75,356.25,50.00,306.25,22750,NIFTY_22750_PE_16_JAN_25.csv,2025-01-10T15:20:00+05:30,15.0,2025-01-13T09:20:00+05:30,38.35,-24.35,-1826.25,50.00,-1876.25,-1470.00,100.00,-1570.00,
2025-01-13,Monday,TRADED,,2025-01-16,current_week,2025-01-14,2025-01-13T15:20:00+05:30,23098.4,23100,CE:5.00-10.00 PE:5.00-10.00,23750,NIFTY_23750_CE_16_JAN_25.csv,2025-01-13T15:20:00+05:30,9.9,2025-01-14T09:20:00+05:30,10.25,-1.35,-101.25,50.00,-151.25,22250,NIFTY_22250_PE_16_JAN_25.csv,2025-01-13T15:20:00+05:30,9.8,2025-01-14T09:20:00+05:30,5.85,2.95,221.25,50.00,171.25,120.00,100.00,20.00,
2025-01-14,Tuesday,TRADED,,2025-01-16,current_week,2025-01-15,2025-01-14T15:20:00+05:30,23183.35,23200,CE:20.00-25.00 PE:20.00-25.00,23450,NIFTY_23450_CE_16_JAN_25.csv,2025-01-14T15:20:00+05:30,20.39,2025-01-15T09:20:00+05:30,18.05,1.34,100.50,50.00,50.50,23000,NIFTY_23000_PE_16_JAN_25.csv,2025-01-14T15:20:00+05:30,24.2,2025-01-15T09:20:00+05:30,19.89,3.31,248.25,50.00,198.25,348.75,100.00,248.75,
