range_label,moneyness,offset_points,entry_date,status,skip_reason,expiry_date,next_trading_day,lot_size,lots,qty,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,target_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
OTM_100,OTM,100,2019-01-01,SKIPPED,missing_option_file,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,10800,PE,NIFTY_10800_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10800_PE_02_JAN_20.csv
OTM_200,OTM,200,2019-01-01,SKIPPED,missing_option_file,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,10700,PE,NIFTY_10700_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10700_PE_02_JAN_20.csv
OTM_300,OTM,300,2019-01-01,SKIPPED,missing_option_file,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,10600,PE,NIFTY_10600_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10600_PE_02_JAN_20.csv
OTM_400,OTM,400,2019-01-01,SKIPPED,missing_option_file,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,10500,PE,NIFTY_10500_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10500_PE_02_JAN_20.csv
OTM_500,OTM,500,2019-01-01,SKIPPED,missing_option_file,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,10400,PE,NIFTY_10400_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10400_PE_02_JAN_20.csv
ITM_100,ITM,100,2019-01-01,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,11000,PE,NIFTY_11000_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11000_PE_02_JAN_20.csv missing entry 2019-01-01T15:29:00+05:30; NIFTY_11000_PE_02_JAN_20.csv missing exit 2019-01-02T09:16:00+05:30
ITM_200,ITM,200,2019-01-01,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,11100,PE,NIFTY_11100_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11100_PE_02_JAN_20.csv missing entry 2019-01-01T15:29:00+05:30; NIFTY_11100_PE_02_JAN_20.csv missing exit 2019-01-02T09:16:00+05:30
ITM_300,ITM,300,2019-01-01,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-02,75,4,300,2019-01-01T15:15:00+05:30,10914.0,10841.89,ABOVE_SMA,10900,11200,PE,NIFTY_11200_PE_02_JAN_20.csv,2019-01-01T15:29:00+05:30,,2019-01-02T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11200_PE_02_JAN_20.csv missing entry 2019-01-01T15:29:00+05:30; NIFTY_11200_PE_02_JAN_20.csv missing exit 2019-01-02T09:16:00+05:30
OTM_100,OTM,100,2019-01-02,SKIPPED,missing_option_file,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,10900,CE,NIFTY_10900_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10900_CE_02_JAN_20.csv
OTM_200,OTM,200,2019-01-02,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,11000,CE,NIFTY_11000_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11000_CE_02_JAN_20.csv missing entry 2019-01-02T15:29:00+05:30; NIFTY_11000_CE_02_JAN_20.csv missing exit 2019-01-03T09:16:00+05:30
OTM_300,OTM,300,2019-01-02,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,11100,CE,NIFTY_11100_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11100_CE_02_JAN_20.csv missing entry 2019-01-02T15:29:00+05:30; NIFTY_11100_CE_02_JAN_20.csv missing exit 2019-01-03T09:16:00+05:30
OTM_400,OTM,400,2019-01-02,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,11200,CE,NIFTY_11200_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11200_CE_02_JAN_20.csv missing entry 2019-01-02T15:29:00+05:30; NIFTY_11200_CE_02_JAN_20.csv missing exit 2019-01-03T09:16:00+05:30
OTM_500,OTM,500,2019-01-02,SKIPPED,missing_entry_or_exit_timestamp,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,11300,CE,NIFTY_11300_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,NIFTY_11300_CE_02_JAN_20.csv missing entry 2019-01-02T15:29:00+05:30; NIFTY_11300_CE_02_JAN_20.csv missing exit 2019-01-03T09:16:00+05:30
ITM_100,ITM,100,2019-01-02,SKIPPED,missing_option_file,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,10700,CE,NIFTY_10700_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10700_CE_02_JAN_20.csv
ITM_200,ITM,200,2019-01-02,SKIPPED,missing_option_file,2020-01-02,2019-01-03,75,4,300,2019-01-02T15:15:00+05:30,10780.0,10830.10,BELOW_SMA,10800,10600,CE,NIFTY_10600_CE_02_JAN_20.csv,2019-01-02T15:29:00+05:30,,2019-01-03T09:16:00+05:30,,0.00,0.00,0.00,Missing option file: NIFTY_10600_CE_02_JAN_20.csv
