range_label,moneyness,offset_points,entry_date,status,skip_reason,expiry_date,next_trading_day,spot_signal_timestamp,spot_signal_close,spot_sma_25,spot_signal_relation,atm_strike,target_strike,sold_side,contract_name,option_entry_timestamp,option_entry_open,option_exit_timestamp,option_exit_open,gross_pnl,brokerage,net_pnl,remarks
OTM_100,OTM,100,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23650,PE,NIFTY_23650_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,63.3,2025-01-02T09:16:00+05:30,54.8,1690.00,50.00,1640.00,
OTM_200,OTM,200,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23550,PE,NIFTY_23550_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,39.65,2025-01-02T09:16:00+05:30,31.6,1573.00,50.00,1523.00,
OTM_300,OTM,300,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23450,PE,NIFTY_23450_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,23.1,2025-01-02T09:16:00+05:30,16.39,1224.60,50.00,1174.60,
OTM_400,OTM,400,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23350,PE,NIFTY_23350_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,12.35,2025-01-02T09:16:00+05:30,7.6,715.00,50.00,665.00,
OTM_500,OTM,500,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23250,PE,NIFTY_23250_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,6.05,2025-01-02T09:16:00+05:30,2.95,286.00,50.00,236.00,
ITM_100,ITM,100,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23850,PE,NIFTY_23850_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,142.25,2025-01-02T09:16:00+05:30,133.35,1794.00,50.00,1744.00,
ITM_200,ITM,200,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,23950,PE,NIFTY_23950_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,200.8,2025-01-02T09:16:00+05:30,196.4,624.00,50.00,574.00,
ITM_300,ITM,300,2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:15:00+05:30,23758.7,23718.99,ABOVE_SMA,23750,24050,PE,NIFTY_24050_PE_02_JAN_25.csv,2025-01-01T15:29:00+05:30,271.8,2025-01-02T09:16:00+05:30,267.8,520.00,50.00,470.00,
OTM_100,OTM,100,2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,24050,PE,NIFTY_24050_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,128.1,2025-01-03T09:16:00+05:30,144.15,-4693.00,50.00,-4743.00,
OTM_200,OTM,200,2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,23950,PE,NIFTY_23950_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,96.1,2025-01-03T09:16:00+05:30,108.8,-3822.00,50.00,-3872.00,
OTM_300,OTM,300,2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,23850,PE,NIFTY_23850_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,71.3,2025-01-03T09:16:00+05:30,80.34,-2870.40,50.00,-2920.40,
OTM_400,OTM,400,2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,23750,PE,NIFTY_23750_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,52.6,2025-01-03T09:16:00+05:30,60.4,-2548.00,50.00,-2598.00,
OTM_500,OTM,500,2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:15:00+05:30,24167.95,24012.97,ABOVE_SMA,24150,23650,PE,NIFTY_23650_PE_09_JAN_25.csv,2025-01-02T15:29:00+05:30,39.04,2025-01-03T09:16:00+05:30,44.55,-1952.60,50.00,-2002.60,
