entry_date,status,skip_reason,expiry_date,spot_entry_timestamp,spot_entry_open,atm_strike,ce_contract_file,ce_entry_timestamp,ce_entry_open,ce_stop_price,ce_exit_timestamp,ce_exit_price,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_brokerage,ce_net_pnl,pe_contract_file,pe_entry_timestamp,pe_entry_open,pe_stop_price,pe_exit_timestamp,pe_exit_price,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_brokerage,pe_net_pnl,orders_executed,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-01T09:20:00+05:30,23673.1,23650,NIFTY_23650_CE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,129.69,179.69,2025-01-01T10:48:00+05:30,179.69,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23650_PE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,108.25,158.25,2025-01-01T15:20:00+05:30,69.0,day_close,37.25,9685.00,50.00,9635.00,4,-3835.00,100.00,-3935.00,
2025-01-02,TRADED,,2025-01-02,2025-01-02T09:20:00+05:30,23788.2,23800,NIFTY_23800_CE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,107.0,157.00,2025-01-02T10:12:00+05:30,157.00,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23800_PE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,119.45,169.45,2025-01-02T15:20:00+05:30,0.15,day_close,117.30,30498.00,50.00,30448.00,4,16978.00,100.00,16878.00,
2025-01-03,TRADED,,2025-01-09,2025-01-03T09:20:00+05:30,24176.05,24200,NIFTY_24200_CE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,167.75,217.75,2025-01-03T15:20:00+05:30,78.84,day_close,86.91,22596.60,50.00,22546.60,NIFTY_24200_PE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,197.05,247.05,2025-01-03T09:35:00+05:30,247.05,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,9076.60,100.00,8976.60,
2025-01-06,TRADED,,2025-01-09,2025-01-06T09:20:00+05:30,24031.8,24050,NIFTY_24050_CE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,132.85,182.85,2025-01-06T15:20:00+05:30,46.95,day_close,83.90,21814.00,50.00,21764.00,NIFTY_24050_PE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,165.9,215.90,2025-01-06T09:35:00+05:30,215.90,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,8294.00,100.00,8194.00,
2025-01-07,TRADED,,2025-01-09,2025-01-07T09:20:00+05:30,23754.6,23750,NIFTY_23750_CE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,163.8,213.80,2025-01-07T15:20:00+05:30,97.6,day_close,64.20,16692.00,50.00,16642.00,NIFTY_23750_PE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,166.3,216.30,2025-01-07T15:20:00+05:30,146.35,day_close,17.95,4667.00,50.00,4617.00,4,21359.00,100.00,21259.00,
2025-01-08,TRADED,,2025-01-09,2025-01-08T09:20:00+05:30,23679.5,23700,NIFTY_23700_CE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,86.75,136.75,2025-01-08T15:20:00+05:30,66.15,day_close,18.60,4836.00,50.00,4786.00,NIFTY_23700_PE_09_JAN_25.csv,2025-01-08T09:20:00+05:30,119.7,169.70,2025-01-08T10:41:00+05:30,169.70,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-8684.00,100.00,-8784.00,
2025-01-09,TRADED,,2025-01-09,2025-01-09T09:20:00+05:30,23616.55,23600,NIFTY_23600_CE_09_JAN_25.csv,2025-01-09T09:20:00+05:30,53.4,103.40,2025-01-09T15:20:00+05:30,0.1,day_close,51.30,13338.00,50.00,13288.00,NIFTY_23600_PE_09_JAN_25.csv,2025-01-09T09:20:00+05:30,50.4,100.40,2025-01-09T14:46:00+05:30,100.40,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-182.00,100.00,-282.00,
2025-01-10,TRADED,,2025-01-16,2025-01-10T09:20:00+05:30,23561.2,23550,NIFTY_23550_CE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,191.2,241.20,2025-01-10T15:20:00+05:30,118.45,day_close,70.75,18395.00,50.00,18345.00,NIFTY_23550_PE_16_JAN_25.csv,2025-01-10T09:20:00+05:30,164.55,214.55,2025-01-10T09:33:00+05:30,214.55,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,4875.00,100.00,4775.00,
2025-01-13,TRADED,,2025-01-16,2025-01-13T09:20:00+05:30,23242.85,23250,NIFTY_23250_CE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,168.05,218.05,2025-01-13T10:30:00+05:30,218.05,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23250_PE_16_JAN_25.csv,2025-01-13T09:20:00+05:30,171.2,221.20,2025-01-13T14:31:00+05:30,221.20,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-27040.00,100.00,-27140.00,
2025-01-14,TRADED,,2025-01-16,2025-01-14T09:20:00+05:30,23211.35,23200,NIFTY_23200_CE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,130.8,180.80,2025-01-14T15:20:00+05:30,107.35,day_close,21.45,5577.00,50.00,5527.00,NIFTY_23200_PE_16_JAN_25.csv,2025-01-14T09:20:00+05:30,98.7,148.70,2025-01-14T15:20:00+05:30,70.55,day_close,26.15,6799.00,50.00,6749.00,4,12376.00,100.00,12276.00,
2025-01-15,TRADED,,2025-01-16,2025-01-15T09:20:00+05:30,23225.15,23250,NIFTY_23250_CE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,74.84,124.84,2025-01-15T15:20:00+05:30,37.35,day_close,35.49,9227.40,50.00,9177.40,NIFTY_23250_PE_16_JAN_25.csv,2025-01-15T09:20:00+05:30,80.15,130.15,2025-01-15T15:20:00+05:30,75.3,day_close,2.85,741.00,50.00,691.00,4,9968.40,100.00,9868.40,
2025-01-16,TRADED,,2025-01-16,2025-01-16T09:20:00+05:30,23335.5,23350,NIFTY_23350_CE_16_JAN_25.csv,2025-01-16T09:20:00+05:30,29.75,79.75,2025-01-16T15:20:00+05:30,0.1,day_close,27.65,7189.00,50.00,7139.00,NIFTY_23350_PE_16_JAN_25.csv,2025-01-16T09:20:00+05:30,54.35,104.35,2025-01-16T10:53:00+05:30,104.35,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-6331.00,100.00,-6431.00,
2025-01-17,TRADED,,2025-01-23,2025-01-17T09:20:00+05:30,23178.2,23200,NIFTY_23200_CE_23_JAN_25.csv,2025-01-17T09:20:00+05:30,183.05,233.05,2025-01-17T12:18:00+05:30,233.05,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23200_PE_23_JAN_25.csv,2025-01-17T09:20:00+05:30,180.65,230.65,2025-01-17T10:59:00+05:30,230.65,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-27040.00,100.00,-27140.00,
2025-01-20,TRADED,,2025-01-23,2025-01-20T09:20:00+05:30,23226.95,23250,NIFTY_23250_CE_23_JAN_25.csv,2025-01-20T09:20:00+05:30,162.05,212.05,2025-01-20T11:18:00+05:30,212.05,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23250_PE_23_JAN_25.csv,2025-01-20T09:20:00+05:30,168.25,218.25,2025-01-20T15:20:00+05:30,91.7,day_close,74.55,19383.00,50.00,19333.00,4,5863.00,100.00,5763.00,
2025-01-21,TRADED,,2025-01-23,2025-01-21T09:20:00+05:30,23395.55,23400,NIFTY_23400_CE_23_JAN_25.csv,2025-01-21T09:20:00+05:30,127.0,177.00,2025-01-21T15:20:00+05:30,27.85,day_close,97.15,25259.00,50.00,25209.00,NIFTY_23400_PE_23_JAN_25.csv,2025-01-21T09:20:00+05:30,130.65,180.65,2025-01-21T09:45:00+05:30,180.65,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,11739.00,100.00,11639.00,
2025-01-22,TRADED,,2025-01-23,2025-01-22T09:20:00+05:30,23108.25,23100,NIFTY_23100_CE_23_JAN_25.csv,2025-01-22T09:20:00+05:30,120.3,170.30,2025-01-22T15:20:00+05:30,98.7,day_close,19.60,5096.00,50.00,5046.00,NIFTY_23100_PE_23_JAN_25.csv,2025-01-22T09:20:00+05:30,108.0,158.00,2025-01-22T15:20:00+05:30,36.25,day_close,69.75,18135.00,50.00,18085.00,4,23231.00,100.00,23131.00,
2025-01-23,TRADED,,2025-01-23,2025-01-23T09:20:00+05:30,23108.1,23100,NIFTY_23100_CE_23_JAN_25.csv,2025-01-23T09:20:00+05:30,56.9,106.90,2025-01-23T09:37:00+05:30,106.90,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23100_PE_23_JAN_25.csv,2025-01-23T09:20:00+05:30,39.15,89.15,2025-01-23T15:20:00+05:30,0.1,day_close,37.05,9633.00,50.00,9583.00,4,-3887.00,100.00,-3987.00,
2025-01-24,TRADED,,2025-01-30,2025-01-24T09:20:00+05:30,23275.8,23300,NIFTY_23300_CE_30_JAN_25.csv,2025-01-24T09:20:00+05:30,185.2,235.20,2025-01-24T15:20:00+05:30,92.25,day_close,90.95,23647.00,50.00,23597.00,NIFTY_23300_PE_30_JAN_25.csv,2025-01-24T09:20:00+05:30,191.4,241.40,2025-01-24T09:49:00+05:30,241.40,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,10127.00,100.00,10027.00,
2025-01-27,TRADED,,2025-01-30,2025-01-27T09:20:00+05:30,22927.3,22950,NIFTY_22950_CE_30_JAN_25.csv,2025-01-27T09:20:00+05:30,162.0,212.00,2025-01-27T09:34:00+05:30,212.00,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_22950_PE_30_JAN_25.csv,2025-01-27T09:20:00+05:30,184.55,234.55,2025-01-27T10:30:00+05:30,234.55,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-27040.00,100.00,-27140.00,
2025-01-28,TRADED,,2025-01-30,2025-01-28T09:20:00+05:30,22927.25,22950,NIFTY_22950_CE_30_JAN_25.csv,2025-01-28T09:20:00+05:30,147.44,197.44,2025-01-28T11:02:00+05:30,197.44,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_22950_PE_30_JAN_25.csv,2025-01-28T09:20:00+05:30,141.9,191.90,2025-01-28T09:34:00+05:30,191.90,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-27040.00,100.00,-27140.00,
2025-01-29,TRADED,,2025-01-30,2025-01-29T09:20:00+05:30,23032.85,23050,NIFTY_23050_CE_30_JAN_25.csv,2025-01-29T09:20:00+05:30,127.6,177.60,2025-01-29T10:09:00+05:30,177.60,stop_loss,-52.00,-13520.00,50.00,-13570.00,NIFTY_23050_PE_30_JAN_25.csv,2025-01-29T09:20:00+05:30,132.6,182.60,2025-01-29T11:23:00+05:30,182.60,stop_loss,-52.00,-13520.00,50.00,-13570.00,4,-27040.00,100.00,-27140.00,
