entry_date,status,skip_reason,expiry_date,next_trading_day,spot_entry_timestamp,spot_entry_open,atm_strike,ce_entry_timestamp,ce_entry_open,ce_exit_timestamp,ce_exit_open,pe_entry_timestamp,pe_entry_open,pe_exit_timestamp,pe_exit_open,gross_pnl,brokerage,net_pnl,adjustments,remarks
2025-01-01,TRADED,,2025-01-02,2025-01-02,2025-01-01T15:20:00+05:30,23745.95,23750,2025-01-01T15:20:00+05:30,141.65,2025-01-02T09:16:00+05:30,136.69,2025-01-01T15:20:00+05:30,101.9,2025-01-02T09:16:00+05:30,85.45,21.41,100.00,-78.59,0,
2025-01-02,TRADED,,2025-01-09,2025-01-03,2025-01-02T15:20:00+05:30,24189.45,24200,2025-01-02T15:20:00+05:30,179.65,2025-01-03T09:16:00+05:30,158.65,2025-01-02T15:20:00+05:30,190.0,2025-01-03T09:16:00+05:30,211.2,-0.20,100.00,-100.20,0,
2025-01-03,TRADED,,2025-01-09,2025-01-06,2025-01-03T15:20:00+05:30,24000.3,24000,2025-01-03T15:20:00+05:30,158.0,2025-01-06T09:16:00+05:30,165.9,2025-01-03T15:20:00+05:30,156.6,2025-01-06T09:16:00+05:30,138.25,10.45,100.00,-89.55,0,
2025-01-06,TRADED,,2025-01-09,2025-01-07,2025-01-06T15:20:00+05:30,23600.6,23600,2025-01-06T15:20:00+05:30,202.65,2025-01-07T09:16:00+05:30,254.9,2025-01-06T15:20:00+05:30,184.5,2025-01-07T09:16:00+05:30,107.15,25.10,100.00,-74.90,0,
2025-01-07,TRADED,,2025-01-09,2025-01-08,2025-01-07T15:20:00+05:30,23707.3,23700,2025-01-07T15:20:00+05:30,121.9,2025-01-08T09:16:00+05:30,103.7,2025-01-07T15:20:00+05:30,120.9,2025-01-08T09:16:00+05:30,120.25,18.85,100.00,-81.15,0,
2025-01-08,TRADED,,2025-01-09,2025-01-09,2025-01-08T15:20:00+05:30,23687.4,23700,2025-01-08T15:20:00+05:30,66.15,2025-01-09T09:16:00+05:30,25.25,2025-01-08T15:20:00+05:30,77.59,2025-01-09T09:16:00+05:30,103.65,14.84,100.00,-85.16,0,
2025-01-09,TRADED,,2025-01-16,2025-01-10,2025-01-09T15:20:00+05:30,23525.85,23550,2025-01-09T15:20:00+05:30,202.85,2025-01-10T09:16:00+05:30,188.85,2025-01-09T15:20:00+05:30,161.25,2025-01-10T09:16:00+05:30,163.8,11.45,100.00,-88.55,0,
2025-01-10,TRADED,,2025-01-16,2025-01-13,2025-01-10T15:20:00+05:30,23445.65,23450,2025-01-10T15:20:00+05:30,168.2,2025-01-13T09:16:00+05:30,81.15,2025-01-10T15:20:00+05:30,148.9,2025-01-13T09:16:00+05:30,272.14,-36.19,100.00,-136.19,0,
2025-01-13,TRADED,,2025-01-16,2025-01-14,2025-01-13T15:20:00+05:30,23098.4,23100,2025-01-13T15:20:00+05:30,157.75,2025-01-14T09:16:00+05:30,195.3,2025-01-13T15:20:00+05:30,114.5,2025-01-14T09:16:00+05:30,68.4,8.55,100.00,-91.45,0,
2025-01-14,TRADED,,2025-01-16,2025-01-15,2025-01-14T15:20:00+05:30,23183.35,23200,2025-01-14T15:20:00+05:30,107.35,2025-01-15T09:16:00+05:30,114.2,2025-01-14T15:20:00+05:30,70.55,2025-01-15T09:16:00+05:30,57.95,5.75,100.00,-94.25,0,
2025-01-15,TRADED,,2025-01-16,2025-01-16,2025-01-15T15:20:00+05:30,23206.55,23200,2025-01-15T15:20:00+05:30,62.55,2025-01-16T09:16:00+05:30,129.65,2025-01-15T15:20:00+05:30,50.85,2025-01-16T09:16:00+05:30,10.65,-26.90,100.00,-126.90,0,
2025-01-16,TRADED,,2025-01-23,2025-01-17,2025-01-16T15:20:00+05:30,23315.9,23300,2025-01-16T15:20:00+05:30,202.15,2025-01-17T09:16:00+05:30,144.44,2025-01-16T15:20:00+05:30,170.0,2025-01-17T09:16:00+05:30,210.35,17.36,100.00,-82.64,0,
2025-01-17,TRADED,,2025-01-23,2025-01-20,2025-01-17T15:20:00+05:30,23206.65,23200,2025-01-17T15:20:00+05:30,183.1,2025-01-20T09:16:00+05:30,198.9,2025-01-17T15:20:00+05:30,145.8,2025-01-20T09:16:00+05:30,120.75,9.25,100.00,-90.75,0,
2025-01-20,TRADED,,2025-01-23,2025-01-21,2025-01-20T15:20:00+05:30,23342.8,23350,2025-01-20T15:20:00+05:30,150.35,2025-01-21T09:16:00+05:30,153.0,2025-01-20T15:20:00+05:30,132.55,2025-01-21T09:16:00+05:30,111.6,18.30,100.00,-81.70,0,
2025-01-21,TRADED,,2025-01-23,2025-01-22,2025-01-21T15:20:00+05:30,23036.6,23050,2025-01-21T15:20:00+05:30,147.85,2025-01-22T09:16:00+05:30,134.75,2025-01-21T15:20:00+05:30,102.15,2025-01-22T09:16:00+05:30,88.7,26.55,100.00,-73.45,0,
