entry_date,status,expiry_date,side,strike,contract_file,spot_entry_timestamp,spot_entry_open,atm_strike,entry_timestamp,entry_price,stop_price,target_price,exit_timestamp,exit_price,exit_reason,points_pnl,gross_pnl,brokerage,net_pnl,remarks
2025-01-01,TRADED,2025-01-02,CE,23950,NIFTY_23950_CE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,23673.1,23650,2025-01-01T09:20:00+05:30,27.3,54.60,10.00,2025-01-01T10:50:00+05:30,54.9,gap_stop_loss,-29.60,-7696.00,50.00,-7746.00,
2025-01-01,TRADED,2025-01-02,PE,23350,NIFTY_23350_PE_02_JAN_25.csv,2025-01-01T09:20:00+05:30,23673.1,23650,2025-01-01T09:20:00+05:30,27.75,55.50,10.00,2025-01-01T15:20:00+05:30,13.8,day_close,11.95,3107.00,50.00,3057.00,
2025-01-02,TRADED,2025-01-02,CE,24050,NIFTY_24050_CE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,23788.2,23800,2025-01-02T09:20:00+05:30,23.15,46.30,10.00,2025-01-02T10:49:00+05:30,46.30,stop_loss,-25.15,-6539.00,50.00,-6589.00,
2025-01-02,TRADED,2025-01-02,PE,23500,NIFTY_23500_PE_02_JAN_25.csv,2025-01-02T09:20:00+05:30,23788.2,23800,2025-01-02T09:20:00+05:30,26.6,53.20,10.00,2025-01-02T10:47:00+05:30,10.00,target,14.60,3796.00,50.00,3746.00,
2025-01-03,TRADED,2025-01-09,CE,24700,NIFTY_24700_CE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,24176.05,24200,2025-01-03T09:20:00+05:30,22.35,44.70,10.00,2025-01-03T12:25:00+05:30,10.0,gap_target,10.35,2691.00,50.00,2641.00,
2025-01-03,TRADED,2025-01-09,PE,23500,NIFTY_23500_PE_09_JAN_25.csv,2025-01-03T09:20:00+05:30,24176.05,24200,2025-01-03T09:20:00+05:30,25.4,50.80,10.00,2025-01-03T15:20:00+05:30,21.7,day_close,1.70,442.00,50.00,392.00,
2025-01-06,TRADED,2025-01-09,CE,24450,NIFTY_24450_CE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,24031.8,24050,2025-01-06T09:20:00+05:30,23.95,47.90,10.00,2025-01-06T14:37:00+05:30,10.00,target,11.95,3107.00,50.00,3057.00,
2025-01-06,TRADED,2025-01-09,PE,23550,NIFTY_23550_PE_09_JAN_25.csv,2025-01-06T09:20:00+05:30,24031.8,24050,2025-01-06T09:20:00+05:30,22.6,45.20,10.00,2025-01-06T09:37:00+05:30,45.20,stop_loss,-24.60,-6396.00,50.00,-6446.00,
2025-01-07,TRADED,2025-01-09,CE,24250,NIFTY_24250_CE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,23754.6,23750,2025-01-07T09:20:00+05:30,23.6,47.20,10.00,2025-01-07T10:09:00+05:30,10.00,target,11.60,3016.00,50.00,2966.00,
2025-01-07,TRADED,2025-01-09,PE,23150,NIFTY_23150_PE_09_JAN_25.csv,2025-01-07T09:20:00+05:30,23754.6,23750,2025-01-07T09:20:00+05:30,24.4,48.80,10.00,2025-01-07T12:49:00+05:30,10.00,target,12.40,3224.00,50.00,3174.00,
