entry_date,status,skip_reason,index,active_expiry,spot,atm_strike,ce_strike,ce_entry_price,ce_stop_price,ce_exit_price,ce_exit_timestamp,ce_exit_reason,ce_points_pnl,ce_gross_pnl,ce_net_pnl,ce_failure_reason,pe_strike,pe_entry_price,pe_stop_price,pe_exit_price,pe_exit_timestamp,pe_exit_reason,pe_points_pnl,pe_gross_pnl,pe_net_pnl,pe_failure_reason,lot_size,lots,total_qty,combined_entry_credit,gross_pnl,brokerage,net_pnl,remarks,cumulative_pnl
2024-10-01,TRADED,,NIFTY,2024-10-03,25788.45,25800,26000,53.2,106.40,16.40,2024-10-01T15:20:00+05:30,day_close,34.80,870.00,820.00,,25600,25.75,51.50,15.00,2024-10-01T15:20:00+05:30,day_close,8.75,218.75,168.75,,25,1,25,78.95,1088.75,100.00,988.75,,988.75
2024-10-03,TRADED,,NIFTY,2024-10-03,25452.85,25450,25650,43.8,87.60,87.60,2024-10-03T09:35:00+05:30,stop_loss,-45.80,-1145.00,-1195.00,,25250,8.6,17.20,17.20,2024-10-03T13:45:00+05:30,stop_loss,-10.60,-265.00,-315.00,,25,1,25,52.40,-1410.00,100.00,-1510.00,,-521.25
2024-10-04,TRADED,,SENSEX,2024-10-04,82100,82100,82700,54.95,109.90,109.90,2024-10-04T09:34:00+05:30,stop_loss,-56.95,-569.50,-619.50,,81500,57.7,115.40,0.15,2024-10-04T15:20:00+05:30,day_close,55.55,555.50,505.50,,10,1,10,112.65,-14.00,100.00,-114.00,,-635.25
2024-10-07,TRADED,,NIFTY,2024-10-10,25084.1,25100,25300,88.8,177.60,32.60,2024-10-07T15:20:00+05:30,day_close,54.20,1355.00,1305.00,,24900,91.9,183.80,183.80,2024-10-07T10:56:00+05:30,stop_loss,-93.90,-2347.50,-2397.50,,25,1,25,180.70,-992.50,100.00,-1092.50,,-1727.75
2024-10-08,TRADED,,NIFTY,2024-10-10,24832.2,24850,25050,93.2,186.40,98.20,2024-10-08T15:20:00+05:30,day_close,-7.00,-175.00,-225.00,,24650,106.85,213.70,42.50,2024-10-08T15:20:00+05:30,day_close,62.35,1558.75,1508.75,,25,1,25,200.05,1383.75,100.00,1283.75,,-444.00
2024-10-09,TRADED,,NIFTY,2024-10-10,25065.8,25050,25250,40.35,80.70,80.70,2024-10-09T10:09:00+05:30,stop_loss,-42.35,-1058.75,-1108.75,,24850,61.55,123.10,35.95,2024-10-09T15:20:00+05:30,day_close,23.60,590.00,540.00,,25,1,25,101.90,-468.75,100.00,-568.75,,-1012.75
2024-10-10,TRADED,,NIFTY,2024-10-10,25067.05,25050,25250,15.65,31.30,0.05,2024-10-10T15:20:00+05:30,day_close,13.60,340.00,290.00,,24850,12.25,24.50,0.05,2024-10-10T15:20:00+05:30,day_close,10.20,255.00,205.00,,25,1,25,27.90,595.00,100.00,495.00,,-517.75
2024-10-11,TRADED,,SENSEX,2024-10-11,81500,81500,82100,43.85,87.70,0.10,2024-10-11T15:20:00+05:30,day_close,41.75,417.50,367.50,,80900,37.2,74.40,0.15,2024-10-11T15:20:00+05:30,day_close,35.05,350.50,300.50,,10,1,10,81.05,768.00,100.00,668.00,,150.25
2024-10-14,TRADED,,NIFTY,2024-10-17,25023.45,25000,25200,62.45,124.90,80.35,2024-10-14T15:20:00+05:30,day_close,-19.90,-497.50,-547.50,,24800,49.05,98.10,24.00,2024-10-14T15:20:00+05:30,day_close,23.05,576.25,526.25,,25,1,25,111.50,78.75,100.00,-21.25,,129.00
2024-10-15,TRADED,,NIFTY,2024-10-17,25186.3,25200,25400,25.55,51.10,9.30,2024-10-15T15:20:00+05:30,day_close,14.25,356.25,306.25,,25000,35.8,71.60,71.60,2024-10-15T09:53:00+05:30,stop_loss,-37.80,-945.00,-995.00,,25,1,25,61.35,-588.75,100.00,-688.75,,-559.75
2024-10-16,TRADED,,NIFTY,2024-10-17,25008.55,25000,25200,24.75,49.50,9.85,2024-10-16T15:20:00+05:30,day_close,12.90,322.50,272.50,,24800,18.45,36.90,36.90,2024-10-16T11:40:00+05:30,stop_loss,-20.45,-511.25,-561.25,,25,1,25,43.20,-188.75,100.00,-288.75,,-848.50
2024-10-17,TRADED,,NIFTY,2024-10-17,25027.4,25050,25250,3.35,6.70,0.05,2024-10-17T15:20:00+05:30,day_close,1.30,32.50,-17.50,,24850,22.35,44.70,44.70,2024-10-17T09:38:00+05:30,stop_loss,-24.35,-608.75,-658.75,,25,1,25,25.70,-576.25,100.00,-676.25,,-1524.75
2024-10-18,TRADED,,SENSEX,2024-10-18,80500,80500,81100,31.7,63.40,63.40,2024-10-18T09:31:00+05:30,stop_loss,-33.70,-337.00,-387.00,,79900,45.35,90.70,0.05,2024-10-18T15:20:00+05:30,day_close,43.30,433.00,383.00,,10,1,10,77.05,96.00,100.00,-4.00,,-1528.75
2024-10-21,TRADED,,NIFTY,2024-10-24,24956.15,24950,25150,32.75,65.50,14.25,2024-10-21T15:20:00+05:30,day_close,16.50,412.50,362.50,,24750,76.4,152.80,152.80,2024-10-21T09:49:00+05:30,stop_loss,-78.40,-1960.00,-2010.00,,25,1,25,109.15,-1547.50,100.00,-1647.50,,-3176.25
